&| ˈʌ w
idrætstimer|ˈʔi ð ʁ ?a t s t ˌi m ʔʌ 
idrætsudvalget|ˈʔi ð ʁ ?a t s ˌʔu ð ʋ a l j ə ð
idrætsudøvere|ˈʔi ð ʁ ?a t s ˌʔu ð œ w ˌʔʌ ʔʌ
idrætsundervisning|ˈʔi ð ʁ ?a t s ˌɒ n ʔʌ ʋ ˌʔi s n ʔe ŋ
idrætsverdenen|ˈʔi ð ʁ ?a t s ʋ ˌε ɐ̯ d ə n ə n
idrætsvidenskaben|ˈʔi ð ʁ ?a t s ʋ ˌi ð ə n s k a b ə n
idrætten|ˈʔi ð ʁ ?a d ə n
idrættens|ˈʔi ð ʁ ?a d ə n s
idrætter|ˈʔi ð ʁ ?a t ˌʔʌ 
idyl|ˈʔi ð ʔy l
idyllen|ˈʔi ð ʔy l ə n
idylliske|ʔi ð ˈʔy l ʔi s ɡ ə 
idé|ʔi d ˈʔe
idéen|ʔi d ˈʔe ə n
idéer|ʔi d ˈʔe ʔʌ 
idéerne|ʔi d ˈʔe ʔʌ n ə
idéfase|ʔi d ˈʔe f a s ə
idéhistoriske|ʔi d ˈʔe h ʔi s t ˌʔo ɐ̯ ʔe s k ə 
idékatalog|ʔi d ˌʔe k a t a l ˈɒ
idémageri|ʔi d ˈʔe m a j ˌʌ ʔi
idémand|ʔi d ˈʔe m a n
idémanden|ʔi d ˈʔe m a n ə n
idérigdom|ʔi d ˈʔe ʁ ʔi d ˌʔʌ m
idérigdommen|ʔi d ˈʔe ʁ ʔi d ˌʔʌ m ə n
idéudvikle|ʔi d ˈʔe ʔu ð ʋ ˌʔe k l ə 
idéudvikling|ʔi d ˈʔe ʔu ð ʋ ˌʔe k l ʔe ŋ
idømme|ˈʔi d ʔœ m ə 
idømmer|ˈʔi d ʔœ m ˌʔʌ 
idømmes|ˈʔi d ʔœ m ə  s
idømt|ˈʔi d ʔœ m t
idømte|ˈʔi d ʔœ m d ə 
if|ˈʔi f
if's|ˈʔi f s
ifab|ˈʔi f ?ɑ b
ifald|ˈʔi f a l
ifbm|ˈʔi f b m
ifcn|ˈʔi f k n
ifht|ˈʔi f h t
ifk|ˈʔi f k
ifo|ˈʔi f ʔo
iforvejen|ˈʔi f ʌː ʋ ˌ?ɑ j ə n
ifs|ˈʔi f s
ift|ˈʔi f t
ifversen|ˈʔi f ʋ ɛ ɐ̯ s ə n
iføre|ˈʔi f œ ˌʔʌ
ifører|ˈʔi f œ ˌʔʌ
iført|ˈʔi f ʔœ ɐ̯ t
iga|ˈʔi ɡ a
igang|ˈʔi ɡ ?ɑ ŋ
igangsat|ʔi ɡ ˈɑ ŋ s a t
igangsatte|ʔi ɡ ˈɑ ŋ s a t ə 
igangsætte|ʔi ɡ ˈɑ ŋ s ε t ə 
igangsættelse”|ʔi ɡ ˈɑ ŋ s ε t ə l s ə 
igangsættende|ʔi ɡ ˈɑ ŋ s ε d ə n ə
igangsætter|ʔi ɡ ˈɑ ŋ s ε t ˌʔʌ 
igangsættes|ʔi ɡ ˈɑ ŋ s ε t ə  s
igangværende|ʔi ɡ ˈɑ ŋ ʋ ɛ ˌʌ n ə
igen|ʔi ɡ ˈε n
igen'|ʔi ɡ ˈε n
igenne|i ɡ ˈε n ə 
igennem|i ɡ ˈε n ə m
igen«|ʔi ɡ ˈε n
ignatjev|ˈʔi j n a t j ˌʔe w
ignorante|ˌʔi n j ʔo ʁ ˈ?ɑ n t ə
ignorere|ˌʔi n j o ʁ ˈɛ ʔʌ
igor|ˈʔi ɡ ʔo ɐ̯
igum|ˈʔi ɡ ɒ m
igår|ˈʔi ɡ ɒɒ
ih|ˈʔi
ihjel|ʔi j ˈε l
ihjel«|ʔi j ˈε l
ihvertfald|ˈʔi ʋ ε ɐ̯ t f ˌa l
ihærdig|ʔi h ˈε ɐ̯ d i
ihærdige|ʔi h ˈε ɐ̯ d i ə 
ihærdighed|ʔi h ˈε ɐ̯ d i h ˌʔe ð
ii|ˈʔi ʔi
iii|ˈʔi ʔi ˌʔi
ii’|ˈʔi ʔi
ik|ˈʔi k
ik's|ˈʔi k s
ikano|ˈʔi k a n ˌʔo
ikast|ˈʔi k a s t
ikasts|ˈʔi k a s t s
ike|ˈa j k
ikea|ˈʔi k ʔe ˌa
ikeagrunden|ˈʔi k ʔe ˌ?ɑ ɡ ʁ ɒ n ə n
ikeas|ˈʔi k ʔe ˌa s
ikk|ˈʔi k
ikke|ˈʔe k ə
ikkeanbragte|ˈʔe k ə  a n b ɐ̯ ˌ?ɑ ɡ d ə 
ikkeevidensbaserede|ˈʔe k ə  ʔe ʋ ˌi d ə n s b a s ˌʔe ʔʌ ð ə 
ikkelyttende|ˈʔe k ə l ʔy d ə n ə
ikkemedlemmer|ˈʔe k ə m ʔe ð l ˌε m ʔʌ 
ikkenødvendige|ˈʔe k ə n ʔœ ð ʋ ε n d ˌi ə
ikketid|ˈʔe k ə t ʔi ð
ikkevestlig|ˈʔe k ə ʋ ε s t l ˌʔi
ikkevestlige|ˈʔe k ə ʋ ε s t l ˌi ə
ikke«|ˈʔe k ə 
iklæde|ˈʔi k l ɛ ð ə 
iklæder|ˈʔi k l ε ð ˌʔʌ 
iklædes|ˈʔi k l ɛ ð ə  s
iklædt|ˈʔi k l ε t
ikon|ʔi k ˈʔo n
ikoner|ʔi k ˈʔo n ʔʌ 
ikonet|ʔi k ˈʔo n ə ð
ikonisk|ʔi k ˈʔo n ʔi s ɡ
ikoniske|ʔi k ˈʔo n ʔi s ɡ ə 
ikrafttræden|ˈʔi k ʁ ?ɑ f t ʁ ˌɛ ð ə n
il|ˈʔi l
ilagte|ˈʔi l ?ɑ ɡ d ə 
ildebefindende|ˈʔi l ə b ʔe f ˌʔe n ə n ə
ildebranden|ˈʔi l ə b ɐ̯ ?ɑ n ə n
ildebrandene|ˈʔi l ə b ɐ̯ ?ɑ n ə n ə
ilden|ˈʔi l ə n
ilderes|ˈʔi l ʔʌ ʔʌ s
ildevarslende|ˈʔi l ə ʋ ɑ s l ə n ə
ildrager|ˈʔi l ʁ ɑ w ˌʔʌ
ildring|ˈʔi l ʁ ʔe ŋ
ildrøde|ˈʔi l ʁ œ ð ə 
ildsjæle|ˈʔi l s j ɛ l ə 
ildsjælen|ˈʔi l s j ε l ə n
ildsjælsmentalitet|ˌʔi l s j ε l s m ˈε n t a l i t ˈʔe t
ildspåsættelser|ˈʔi l s p ɒ s ˌε t ə l s ʔʌ 
ildtang|ˈʔi l t ?ɑ ŋ
ilede|ˈʔi l ə ð ə
ilkay|ˈʔi l k ?ɑ j
illa|ˈʔi l a
illdisposed|ˈʔi l d ʔi s p ˌo s ʔe ð
illegal|ˌʔi l ʔe ɡ ˈa l
illegale|ˌʔi l ʔe ɡ ˈa l ə
illegalt|ˌʔi l ʔe ɡ ˈa l t
illinois|ˈʔi l ʔi n ˌʌː j
illkær|ˈʔi l k ε ɐ̯
illum|ˈʔi l ɒ m
illumination|ˌʔi l ʔu m ˌʔi n a ʃ ˈʔo n
illusion|ˌʔi l ʔu ʃ ˈʔo n
illusionen|ˌʔi l ʔu ʃ ˈʔo n ə n
illusioner|ˌʔi l ʔu ʃ ˈʔo n ʔʌ 
illusoriske|ʔi l ˌʔu s ˈʔʌ ʔi s ɡ ə 
illustation|ˈʔi l ʔu s t ˌa ʃ ʔo n
illustration|ˌʔi l ʔu s t ʁ ?ɑ ʃ ˈʔo n
illustrationen|ˌʔi l ʔu s t ʁ ?ɑ ʃ ˈʔo n ə n
illustrationer|ˌʔi l ʔu s t ʁ ?ɑ ʃ ˈʔo n ʔʌ 
illustrative|ˈʔi l ʔu s t ʁ ˌ?ɑ t i ʋ ə 
illustrator|ˌʔi l ʔu s t ʁ ˈɑ t ʌ
illustratoren|ˌʔi l ʔu s t ʁ ˈɑ t ʌ ˌʔʌ n
illustrere|ˌʔi l ʔu s t ʁ ˈɛ ʔʌ
illustrerer|ˌʔi l ʔu s t ʁ ˈε ɐ̯ ʔʌ
illustreres|ˌʔi l ʔu s t ʁ ˈɛ ʔʌ s
illustreret|ˌʔi l ʔu s t ʁ ˈʔe ʌ ð
ilse|ˈʔi l s ə 
ilsø|ˈʔi l s ʔœ
iltbehandling|ˈʔi l t b ʔe h ˌa n l ʔe ŋ
ilten|ˈʔi l d ə n
iltet|ˈʔi l t ə ð
iltindholdet|ˈʔi l t ʔe n h ˌʔʌ l ə ð
iltmangel|ˈʔi l t m ?ɑ ŋ ə l
iltmasker|ˈʔi l t m a s k ˌʔʌ 
iltningen|ˈʔi l t n ʔe ŋ ə n
iltnød|ˈʔi l t n ʔœ ð
iltprocent|ˈʔi l t p ʁ o s ə n t
iltsvind|ˈʔi l t s ʋ ʔe n
image|ˈʔi m ʔi dʒ
imageproblem|ˈʔi m ʔi dʒ p ʁ ˌʔo b l ε m
imaginære|ˌʔi m a ɡ ʔi n ˈε ʔʌ
imaginært|ˌʔi m a ɡ ʔi n ˈε ɐ̯ t
imamen|ˈʔi m a m ə n
imamer|ˈʔi m a m ˌʔʌ 
imed|ˈʔi m ʔe ð
imens|ʔi m ˈε n s
imf|ˈʔi m f
imiteret|ˌʔi m i t ˈʔe ʌ ð
immateriel|ˈʔi m a t ˌʔe ʁ ʔi ˌε l
immersen|ˈʔi m ʔʌ s ə n
immervæk|ˈʔi m ʔʌ ʋ ˌε k
immigrant|ˌʔi m ʔi ɡ ʁ ˈ?ɑ n t
immigrationen|ˌʔi m ʔi ɡ ʁ ?ɑ ʃ ˈʔo n ə n
immun|ˈʔi m ʔu n
immundæmpende|ˈʔi m ɒ n ˌε m p ə n ə
immune|ˈʔi m u n ə 
immunforsvar|ˈʔi m ʔu n f ˌʌː s ʋ ɑ
immunforsvaret|ˈʔi m ʔu n f ˌʌː s ʋ ɑ ˌ?ɑ ə ð
immuniseret|ˌʔi m ʔu n i s ˈʔe ʌ ð
immunisering|ˌʔi m ʔu n i s ˈʔe ɐ̯ ʔe ŋ
immunitet|ˌʔi m ʔu n i t ˈʔe t
immuniteten|ˌʔi m ʔu n i t ˈʔe t ə n
immunitet«|ˌʔi m ʔu n i t ˈʔe t
immunologi|ˌʔi m ʔu n ˌʔo l o ɡ ˈʔi
immunologisk|ˌʔi m ʔu n ʔo l ˈo ʔi s ɡ
immunsystem|ˈʔi m ʔu n s ˌʔy s t ε m
imola|ˈʔi m ʔo l ˌa
impeachment|ˌʔe m p ʔe a ʃ m ˈε n t
imperial|ˌʔe m p ʔe ʁ ʔi ˈa l
imperier|ʔe m p ˈʔe ɐ̯ j ʔʌ ɐ̯
imperium|ʔe m p ˈʔe ʁ ʔi ˌɒ m
implanteret|ˌʔe m p l a n t ˈʔe ʌ ð
implementere|ʔe m p l ə m ˌε n t ˈʔe ʔʌ
implementerer|ʔe m p l ə m ˌε n t ˈʔe ʔʌ 
implementeres|ʔe m p l ə m ˌε n t ˈʔe ɐ̯ ʔʌ s
implementeret|ʔe m p l ə m ˌε n t ˈʔe ʌ ð
implementeret”|ʔe m p l ə m ˌε n t ˈʔe ʌ ð
implementering|ʔe m p l ə m ˌε n t ˈʔe ɐ̯ ʔe ŋ
implicerede|ʔe m p l ˌi s ˈe ʔʌ ð ə
implicerer|ʔe m p l ˌi s ˈe ʔʌ 
imponerende|ˌʔe m p o n ˈʔe ɐ̯ ə n ə
imponerer|ˌʔe m p o n ˈʔe ʔʌ 
imponeret|ˌʔe m p o n ˈʔe ʌ ð
import|ʔe m p ˈɒ t
importen|ˈʔe m p ɒɒ d ə n
importere|ˌʔe m p ɒɒ t ˈʔe ʔʌ
importerede|ˌʔe m p ɒɒ t ˈʔe ɐ̯ ʔʌ ð ə
importeret|ˌʔe m p ɒɒ t ˈʔe ʌ ð
importører|ˌʔe m p ɒ ɐ̯ t ˈʔœ ɐ̯ ʔʌ
impressionisterne|ˌʔe m p ʁ ?a ʃ o n ˈi s t ʔʌ n ə
improvisation|ˌʔe m p ʁ ʔo ʋ ˌʔi s a ʃ ˈʔo n
improvisere|ˌʔe m p ʁ ʔo ʋ i s ˈʔe ʔʌ
improviserede|ˌʔe m p ʁ ʔo ʋ i s ˈʔe ɐ̯ ʔʌ ð ə
improviserer|ˌʔe m p ʁ ʔo ʋ i s ˈʔe ʔʌ 
imprægneret|ˌʔe m p ʁ ε n j ˈʔe ʌ ð
impuls|ˈʔe m p ʔu l s
impulsivt|ˈʔe m p u l s ˌʔi w t
impulskøb|ʔe m p ˈʔu l s k ʔœ b
imran|ˈʔi m ʁ ?ɑ n
imødegå|ˈʔi m œ ð ə ɡ ˌɒ
imødekomme|ʔi m ˈœː ð ə k ʔʌ m ə 
imødekommelse|ʔi m ˈœː ð ə k ʔʌ m ə l s ə 
imødekommende|ʔi m ˈœː ð ə k ʔʌ m ə n ə
imødekommenhed|ʔi m ˈœː ð ə k ʔʌ m ə n h ˌʔe ð
imødekommer|ʔi m ˈœː ð ə k ʔʌ m ˌʔʌ
imødekommes|ʔi m ˈœː ð ə k ʔʌ m ə  s
imødekommet|ʔi m ˈœː ð ə k ʔʌ m ə ð
imødeses|ˈʔi m œ ð ə s ə  s
in|ˈʔe n
in'|ˈʔe n
inaktive|ˈʔe n ?ɑ k t ˌi ʋ ə 
inaktivitet|ˌʔe n ?ɑ k t ˌʔi ʋ i t ˈʔe t
inbicon|ˈʔe n b ʔi k ˌʔo n
incentive|ˈʔe n s ɛ n t ˌi ʋ ə 
incentivere|ˈʔe n s ɛ n t ˌi ʋ ʔʌ ʔʌ
inception|ˈʔe n s ʔe p ʃ ˌʔo n
incidenstal|ˈʔe n s i ð ə n s t ˌa l
incidenstallet|ˈʔe n s i ð ə n s t ˌa l ə ð
incitament|ˌʔe n s ʔi t a m ˈε n t
incitamenter|ˌʔe n s ʔi t a m ˈε n t ʔʌ 
incitamenterne|ˌʔe n s ʔi t a m ˈε n t ʔʌ n ə
incitamentet|ˌʔe n s ʔi t a m ˈε n t ə ð
incitamentstrukturen|ˌʔe n s ʔi t a m ˈε n t s t ʁ u k t ˌʔu ɐ̯ ʔʌ n
ind|ˈʔe n
indad|ˈʔe n a ð
indadtil|ˈʔe n a ð t ˌʔe l
indadvendt|ˈʔe n a ð ʋ ˌε n t
indarbejdet|ˈʔe n ɑ b ˌ?ɑ j d ə ð
indavlede|ˈʔe n ɑ w l ə ð ə
indbakke|ˈʔe n b ?ɑ k ə 
indbefatter|ˈʔe n b e f ˌa t ʔʌ 
indbefattet|ˈʔe n b e f ˌa t ə ð
indbegrebet|ˈʔe n b ʔe ɡ ʁ ˌɛ b ə ð
indberetning|ˈʔe n b ʔe ʁ ˌ?a t n ʔe ŋ
indberetninger|ˈʔe n b ʔe ʁ ˌ?a t n ʔe ŋ ˌʔʌ
indberette|ˈʔe n b ʔe ʁ ˌ?a t ə 
indberetter|ˈʔe n b ʔe ʁ ˌ?a t ʔʌ 
indberettes|ˈʔe n b ʔe ʁ ˌ?a t ə  s
indberettet|ˈʔe n b ʔe ʁ ˌ?a t ə ð
indbetaler|ˈʔe n b ʔe t ˌa l ʔʌ 
indbetaling|ˈʔe n b ʔe t ˌa l ʔe ŋ
indbetalinger|ˈʔe n b ʔe t ˌa l ʔe ŋ ˌʔʌ
indbetalingerne|ˈʔe n b ʔe t ˌa l ʔe ŋ ˌʔʌ n ə
indbetalt|ˈʔe n b ʔe t ˌa l t
indbetalte|ˈʔe n b ʔe t ˌa l d ə 
indblandet|ˈʔe n b l a n ə ð
indblanding|ˈʔe n b l a n ˌʔe ŋ
indblandingformer|ˈʔe n b l a n ˌʔe ŋ f ʌː m ˌʔʌ 
indblik|ˈʔe n b l ʔe k
indbliks|ˈʔe n b l ʔe k s
indbliksgener|ˈʔe n b l ʔe k s ɡ ˌe n ʔʌ 
indblæsninger|ˈʔe n b l ε s n ˌʔe ŋ ʔʌ
indbo|ˈʔe n b ʔo
indbragt|ˈʔe n b ɐ̯ ?ɑ ɡ t
indbringe|ˈʔe n b ɐ̯ ʔe ŋ ə 
indbringende|ˈʔe n b ɐ̯ ʔe ŋ ə n ə
indbringes|ˈʔe n b ɐ̯ ʔe ŋ ə  s
indbrud|ˈʔe n b ɐ̯ ʔu ð
indbruddene|ˈʔe n b ɐ̯ ʔu ð ə n ə
indbruddet|ˈʔe n b ɐ̯ ʔu ð ə ð
indbrudsforebyggelse|ˈʔe n b ɐ̯ ʔu ð s f ˌʔʌ ε b ˌʔy ɡ ə l s ə 
indbrudsforsøg|ˈʔe n b ɐ̯ ʔu ð s f ˌʌː s ʔœ j
indbrudsgruppe|ˈʔe n b ɐ̯ ʔu ð s ɡ ʁ ˌʔu p ə 
indbrudsniveauet|ˌʔe n b ɐ̯ ʔu ð s n i ʋ ˈʔo ə ð
indbrudstal|ˈʔe n b ɐ̯ ʔu s t ˌa l
indbrudstyv|ˈʔe n b ɐ̯ ʔu s t ˌʔy w
indbrudstyve|ˈʔe n b ɐ̯ ʔu s t ˌyː w
indbrudstyven|ˈʔe n b ɐ̯ ʔu s t ˌyː w n
indbrudstyvene|ˈʔe n b ɐ̯ ʔu s t ˌyː w n ə 
indbrudstyvens|ˈʔe n b ɐ̯ ʔu s t ˌyː w n s
indbrudstyveri|ˈʔe n b ɐ̯ ʔu s t ˌyː w ʁ ʔi
indbudt|ˈʔe n b ʔu t
indbydende|ˈʔe n b y ð ə n ə 
indbyder|ˈʔe n b ʔy ð ə ɐ̯
indbyggede|ˈʔe n b ʔy ɡ ə ð ə
indbyggere|ˈʔe n b ʔy ɡ ˌʔʌ ʔʌ
indbyggeres|ˈʔe n b ʔy ɡ ˌʔʌ ʔʌ s
indbyggerne|ˈʔe n b ʔy ɡ ˌʔʌ n ə
indbyggertal|ˈʔe n b ʔy ɡ ə ɐ̯ t ˌa l
indbyggertallet|ˈʔe n b ʔy ɡ ə ɐ̯ t ˌa l ə ð
indbygget|ˈʔe n b ʔy ɡ ə ð
indbyrdes|ˈʔe n b ʔy ɐ̯ d ə  s
indbærer|ˈʔe n b ɛ ˌʌ
indbød|ˈʔe n b ʔœ ð
inddele|ˈʔe n d e l ə 
inddeler|ˈʔe n d ʔe l ˌʔʌ
inddeles|ˈʔe n d e l ə  s
inddeling|ˈʔe n d e l ˌʔe ŋ
inddelt|ˈʔe n d ʔe l t
inddoor|ˈʔe n d uː ɐ̯
inddrage|ˈʔe n d ʁ ?ɑ w ə
inddragelse|ˈʔe n d ʁ ?ɑ w ə l s ə
inddragelsen|ˈʔe n d ʁ ?ɑ w ə l s ə n
inddragende|ˈʔe n d ʁ ?ɑ w ə n ə 
inddrager|ˈʔe n d ʁ ɑ w ˌʔʌ
inddrages|ˈʔe n d ʁ ?ɑ w ə s
inddraget|ˈʔe n d ʁ ?ɑ w ə t
inddrive|ˈʔe n d ʁ i ʋ ə 
inddæmme|ˈʔe n d ε m ə 
inddæmmes|ˈʔe n d ε m ə  s
inddæmmet|ˈʔe n d ε m ə ð
inddæmning|ˈʔe n d ε m n ˌʔe ŋ
inddæmningsstrategi|ˈʔe n d ε m n ˌʔe ŋ s t ʁ ɑ t ə ɡ ˌʔi
inde|ˈʔe n ə
indebære|ˈʔe n ə b ɛ ˌʔʌ 
indebærer|ˈʔe n ə b ɛ ˌʌ
indefor|ˈʔe n ə f ʌ
indefra|ˈʔe n ə f ʁ ɑ
indefrosne|ˈʔe n ə f ɐ̯ ʔʌ s n ə
indefrosset|ˈʔe n ə f ʁ ʔo s ə ð
indefrysning|ˈʔe n ə f ʁ ʔy s n ˌʔe ŋ
indehaver|ˈʔe n ə h a ʋ ˌʌ
indehaveren|ˈʔe n ə h a ʋ ˌʌː ʌ n
indehaverens|ˈʔe n ə h a ʋ ˌʔʌ ɐ̯ ʔʌ n s
indehaverne|ˈʔe n ə h a ʋ ˌʔʌ n ə
indeholde|ˈʔe n ə h ʔʌ l ə
indeholdende|ˈʔe n ə h ʔʌ l ə n ə
indeholder|ˈʔe n ə h ʔʌ l ˌʔʌ
indeholdt|ˈʔe n ə h ʔʌ l t
indeklima|ˈʔe n ə k l ʔi m ˌa
indeklimaet|ˈʔe n ə k l ʔi m ˌa ə ð
indeklimaundersøgelse|ˈʔe n ə k l ʔi m ˌa ɒ n ˌʔʌ s œ j ə l s ə 
indeks|ˈʔe n ʔe k s
indeksere|ʔe n d ə k s ˈʔe ʔʌ
indekseringen|ʔe n d ə k s ˈʔe ɐ̯ ʔe ŋ ə n
indekset|ˈʔe n d ə k s ə ð
indeliggende|ˈʔe n ə l ʔe ɡ ə n ə
indelukkede|ˈʔe n ə l ɒ k ə ð ə
indelukkethed|ˈʔe n ə l ɒ k ə ð h ˌʔe ð
inden|ˈʔe n ə n
indenbords|ˈʔe n ə n b ʔo ɐ̯ s
indendøre|ˈʔe n ə n d œ ˌʔʌ
indendørs|ˈʔe n ə n d ʔœ ɐ̯ s
indendørsbaner|ˈʔe n ə n d ʔœ ɐ̯ s b ˌa n ʔʌ 
indendørssko|ˈʔe n ə n d ʔœ ɐ̯ s k ˌʔo
indendørssteder|ˈʔe n ə n d ʔœ ɐ̯ s t ˌε ð ʔʌ 
indenfor|ˈʔe n ə n f ʌ
indeni|ˈʔe n ə n ʔi
indenlandske|ˈʔe n ə n l a n s k ə
indenom|ˈʔe n ə n ʔʌ m
indenrigsflyvning|ˈʔe n ə n ʁ ʔi s f l ˌʔy w n ʔe ŋ
indenrigsflyvninger|ˈʔe n ə n ʁ ʔi s f l ˌʔy w n ʔe ŋ ˌʔʌ
indenrigsminister|ˈʔe n ə n ʁ ʔi s m ˌʔi n ʔi s t ˌʔʌ
indenrigsministeren|ˈʔe n ə n ʁ ʔi s m ˌʔi n ʔi s t ˌʌː ʌ n
indenrigsministeriet|ˈʔe n ə n ʁ ʔi s m ˌʔi n ʔi s t ˌʔe ʁ i ə ð
indenrigsministeriets|ˈʔe n ə n ʁ ʔi s m ˌʔi n ʔi s t ˌʔe ʁ i ə ð s
indenrigsministerium|ˈʔe n ə n ʁ ʔi s m ˌʔi n ʔi s t ˌʔe ɐ̯ j ɒ m
indenrigspolitiske|ˈʔe n ə n ʁ ʔi s p ˌo l ʔi t ˌʔi s k ə 
indenrigsruten|ˈʔe n ə n ʁ ʔi s ʁ ˌʔu d ə n
indenrigsruter|ˈʔe n ə n ʁ ʔi s ʁ ˌu t ʔʌ 
indenrigstrafikken|ˈʔe n ə n ʁ ʔi s t ʁ ˌ?ɑ f ʔi k ə n
indenrigsudvalget|ˈʔe n ə n ʁ ʔi s ˌʔu ð ʋ a l j ə ð
independent|ˈʔe n ə p ε n d ə n t
indercirkel|ˈʔe n ʔʌ s ˌʔi ɐ̯ k ə l
inderhavn|ˈʔe n ʔʌ h ˌɑ ʔu n
inderhavnen|ˈʔe n ʔʌ h ˌɑ ʔu n ə n
inderhavnsbroen|ˈʔe n ʔʌ h ˌɑ ʔu n s b ɐ̯ ˌʔo ə n
inderkreds|ˈʔe n ʔʌ k ʁ ˌɛ ð s
inderlige|ˈʔe n ʔʌ l ˌi ə
inderligt|ˈʔe n ʔʌ l ˌʔi t
inderne|ˈʔe n ʔʌ n ə
indersiden|ˈʔe n ʔʌ s ˌʔi ð ə n
inderst|ˈʔe n ʔʌ s t
inderste|ˈʔe n ʔʌ s d ə
indervæg|ˈʔe n ʔʌ ʋ ˌε ɡ
indesneet|ˈʔe n ə s n ʔe ə ð
indespærret|ˈʔe n ε s p ˌε ɐ̯ ʌ ð
indeværende|ˈʔe n ə ʋ ɛ ˌʌ n ə 
indfaldsvej|ˈʔe n f a l s ʋ ˌ?ɑ j
indfaldsveje|ˈʔe n f a l s ʋ ˌ?ɑ j ə
indfaldsvejen|ˈʔe n f a l s ʋ ˌ?ɑ j ə n
indfandt|ˈʔe n f a n t
indfanger|ˈʔe n f ?ɑ ŋ ˌʔʌ
indfanges|ˈʔe n f ?ɑ ŋ ə  s
indfanget|ˈʔe n f ?ɑ ŋ ə ð
indfasning|ˈʔe n f a s n ˌʔe ŋ
indfinde|ˈʔe n f ʔe n ə 
indflydelse|ˈʔe n f l y ð ə l s ə 
indflydelsesrige|ˈʔe n f l y ð ə l s ə s ʁ ˌi ə
indforståede|ˈʔe n f ʌː s t ˌɒ ə ð ə
indforstået|ˈʔe n f ʌː s t ˌɒ ə ð
indforståethed|ˈʔe n f ʌː s t ˌɒ ə ð h ʔe ð
indfri|ˈʔe n f ʁ ʔi
indfrielse|ˈʔe n f ʁ i ə l s ə 
indfriet|ˈʔe n f ʁ ʔi ə ð
indfris|ˈʔe n f ʁ ʔi s
indfri«|ˈʔe n f ʁ ʔi
indfrosne|ˈʔe n f ɐ̯ ʔʌ s n ə
indfrysning|ˈʔe n f ʁ ʔy s n ˌʔe ŋ
indfundet|ˈʔe n f ɒ n ə ð
indfødsret|ˈʔe n f ʔœ s ʁ ˌa t
indfødsretsloven|ˈʔe n f ʔœ s ʁ ˌa t s l ɒ ʋ ə n
indfødte|ˈʔe n f ʔœ d ə
indføjet|ˈʔe n f ʌ j ə ð
indføre|ˈʔe n f œ ˌʔʌ
indførelse|ˈʔe n f œ ˌʔʌ l s ə 
indførelsen|ˈʔe n f œ ˌʔʌ l s ə n
indfører|ˈʔe n f œ ˌʔʌ
indføres|ˈʔe n f œ ˌʔʌ s
indførslen|ˈʔe n f ʔœ ɐ̯ s l ə n
indført|ˈʔe n f ʔœ ɐ̯ t
indførte|ˈʔe n f ʔœ ɐ̯ d ə
indgange|ˈʔe n ɡ ?ɑ ŋ ə 
indgangen|ˈʔe n ɡ ?ɑ ŋ ə n
indgangene|ˈʔe n ɡ ?ɑ ŋ ə n ə
indgangsdør|ˈʔe n ɡ ?ɑ ŋ s d ˌʔœ ɐ̯
indgangsdøren|ˈʔe n ɡ ?ɑ ŋ s d ˌœ ʔʌ n
indgangsparti|ˈʔe n ɡ ?ɑ ŋ s p ˌɑ t ʔi
indgangspartierne|ˈʔe n ɡ ?ɑ ŋ s p ˌɑ t ʔi ˌʔʌ n ə
indgangspartiet|ˈʔe n ɡ ?ɑ ŋ s p ˌɑ t ʔi ə ð
indgangsporten|ˈʔe n ɡ ?ɑ ŋ s p ˌɒɒ d ə n
indgangsvinkel|ˈʔe n ɡ ?ɑ ŋ s ʋ ˌʔe n k ə l
indgangsvinklen|ˈʔe n ɡ ?ɑ ŋ s ʋ ˌʔe n k l ə n
indgav|ˈʔe n ɡ a w
indgå|ˈʔe n ɡ a
indgik|ˈʔe n ɡ ʔi k
indgive|ˈʔe n ɡ ʔi
indgivet|ˈʔe n ɡ i ə ð
indgreb|ˈʔe n ɡ ʁ ε b
indgrebet|ˈʔe n ɡ ʁ ɛ b ə ð
indgriben|ˈʔe n ɡ ʁ i b ə n
indgribende|ˈʔe n ɡ ʁ i b ə n ə
indgroet|ˈʔe n ɡ ʁ ʔo ə ð
indgå|ˈʔe n ɡ ɒ
indgåede|ˈʔe n ɡ ɒ ə ð ə
indgåelse|ˈʔe n ɡ ɒ ə l s ə 
indgåelsen|ˈʔe n ɡ ɒ ə l s ə n
indgående|ˈʔe n ɡ ɒ ə n ə
indgået|ˈʔe n ɡ ɒ ə ð
indgår|ˈʔe n ɡ ɒɒ
indgås|ˈʔe n ɡ ɒ s
indhegnede|ˈʔe n h ?ɑ j n ə ð ə
indhegning|ˈʔe n h ?ɑ j n ˌʔe ŋ
indhegningen|ˈʔe n h ?ɑ j n ˌʔe ŋ ə n
indhegninger|ˈʔe n h ?ɑ j n ˌʔe ŋ ʔʌ
indhente|ˈʔe n h ε n d ə 
indhenter|ˈʔe n h ε n t ˌʔʌ 
indhentes|ˈʔe n h ε n d ə  s
indhentet|ˈʔe n h ε n t ə ð
indhold|ˈʔe n h ʔʌ l
indholder|ˈʔe n h ʔʌ l ˌʔʌ 
indholdet|ˈʔe n h ʔʌ l ə ð
