&|ɟ ˈəʊɜ v ˌaː2 
mình|m ˈi2 ɲ 
mía|m ˈiəɜ 
mít|m ˈiɜ t̪ 
miếng|m ˈiɛɜ ŋ
miết|m ˈiɛɜ t̪
miếu|m ˈiɛɜ w 
miền”|m ˈiɛ2 n 
miều|m ˈiɛ2 w
miễm|m ˈiɛ5 m 
miễu|m ˈiɛ5 w 
miện|m ˈiɛ6 n
miệng|m ˈiɛ6 ŋ
miệng’|m ˈiɛ6 ŋ 
miệng”|m ˈiɛ6 ŋ 
miệt|m ˈiɛ6 t̪
mladeč| ˈɛ1 m l ˈeɪ7 d ə1 tʃ  
mlbb|ˌɛ1 m əː2 ˌɛ1 l əː2 b ˌe1 b ˈe7 
mlem| ˈɛ1 m l ˈɛ7 m  
mls|ˌɛ1 m əː2 ˌɛ1 l əː2 ˈɛɜ s 
mm|ˌɛ1 m əː2 ˈɛ7 m əː2 
mns|ˌɛ1 m əː2 ˌɛ1 n əː2 ˈɛɜ s 
moan|m w ˈaː7 n 
mobiagri|ˈɛ1 m əː2  ˈɔ1  b ˈe1  ˈi1  ˈaː1  ð ˈe7  ˈɛ1 ʐ əː2  ˈi7 
mobifone| m ˈɒ7 b ɪ1 f ˌəʊəʊ n  
mobile| m ˈəʊəʊ b aɪ1 l  
mobirun| m ˈɒ7 b ə1 ɹ ˌʌ1 n  
mobius| m ˈəʊəʊ b ɪ1  ə1 s  
moby|m ˈɔ7 b i1 
moc|m ˈɔ7 k 
moca|m ˈɔ7 k aː1 
mochamad| m ˈəʊəʊ k ə1 m ˌa1 d  
mochi|m ˈɔ7 k h i1 
modern| m ˈɒ7 d əə n  
moderna| m ˈɒ7 d əə n ə1  
modi|m ˈɔ7 z i1 
modric| m ˈɒ7 d ɹ ɪ1 k  
module| m ˈɒ7 d j uː1 l  
mogadishu| m ˌɒ1 ɡ ɐɐ d ˈiː7 ʃ uː1  
moglix|ˈɛ1 m əː2  ˈɔ1  ð ˈe7  ˈɛ1 l əː2  ˈi1  ˈiɜ c 
moh|m ˈɔ7 h 
mohamed| m əʊəʊ h ˈa7 m ɪ1 d  
mohammad| m əʊəʊ h ˈa7 m ɪ1 d  
mohammadou| m ˈəʊəʊ h ɐɐ m ˌa1 d uː1  
mohammed| m əʊəʊ h ˈa7 m ɪ1 d  
mois| m w ˈɑː7 z  
moises| m ˈɔɪ7 z ɪ1 z  
mojo|m ˈɔ7 ʒ ɔ1 
molavi| m ˈɒ7 l a1 v ii  
moldova|m ˈɔ7 l z ɔ1 v ˌaː1 
molecular| m ə1 l ˈɛ7 k j ʊ1 l əə  
molina| m ə1 l ˈiː7 n ə1  
molineux| m ˈɒ7 l aɪ1 n ˌʌ1 k s  
moller| m ˈɒ7 l əə  
molnupiravir| m ˈɒ7 l n j uː1 p ˌɜː1 ɹ ɐɐ v ˌiə1  
moluccan| m ˈɒ7 l ʌ1 k ə1 n  
mom|m ˈɔ7 m 
momo|m ˈɔ7 m ɔ1 
mon|m ˈɔ7 n
mona|m ˈɔ7 n aː1 
monaco| m ˈɒ7 n ə1 k ˌəʊəʊ  
monash| m ˈɒ7 n a1 ʃ  
monceau| m ˈɒ7 n s əʊəʊ  
monchengladbach| m ˈɒ7 n tʃ ɪ1 ŋ ɡ l ˌa1 d b ɑː1 x  
monde|m ˈɔ7 n z ɛ1
mondel|(en) m ˈɒ7 n d ələl (vi)
money| m ˈʌ7 n ii  
mong|m ˈɔ7 ŋ 
monica| m ˈɒ7 n ɪ1 k ə1  
monique| m ə1 n ˈiː7 k  
mono|m ˈɔ7 n ɔ1 
monox| m ˈʌ7 n ɒ1 k s  
monpère|m ˈɔ7 n p ɛ2 z ˌɛ1
monrovia|m ˈɔ7 n z ɔ1 v ˌiə1 
mons| m ˈɒ7 n z  
monsieur|(en) m ə1 s j ˈɜː7 (vi)
monster| m ˈɒ7 n s t əə  
monsteur|(en) m ɒ1 n s t j ˈʊə7 (vi)
montaigne|ˈɛ1 m əː2  ˈɔ1  ˈɛ1 n əː2  t ˈe1  ˈaː1  ˈi1  ð ˈe7  ˈɛ1 n əː2  ˈɛ7
montauk| m ˈɒ7 n t ɔː1 k  
montenegro| m ˌɒ1 n t ə1 n ˈiː7 ɡ ɹ əʊəʊ  
montpellier| m ˈɒ7 n t p ɪ1 l ii  əə  
montrose|m ˈɔ7 n tʃ ɔ1 s ˌɛ1 
monza|m ˈɔ7 n z aː1 
moo|m ˈɔ7 
moody’s| m ˈuː7 d ii z  
moon|m ˈɔ7 n 
moonwan|m ˈɔ7 n w aː1 n 
moore|m ˈɔ7 z ɛ1 
mopan|m ˈɔ7 p aː1 n 
mora|m ˈɔ7 z aː1 
moraes| m ˈɔːɔː ɹ iː1 z  
morata| m ɔːɔː ɹ ˈɑː7 t ə1  
morawiecki| m ˈɔːɔː ɹ ɐɐ w ˌaɪ1 k ii  
more|m ˈɔ7 z ɛ1 
morey| m ˈɔːɔː ɹ ii  
morgan|m ˈɔ7 z ɣ aː1 n 
moringa| m ˈɔːɔː ɹ ɪ1 ŋ ɡ ə1  
moriyasu| m ˌɔːɔː ɹ ɪ1 j ˈɑː7 s uː1  
morning|m ˈɔ7 z n i1 ŋ 
morocco|m ˈɔ7 z ɔ1 k k ˌɔ1 
morodok| m ˈɔːɔː ɹ ə1 d ˌɒ1 k  
morris| m ˈɒ7 ɹ ɪ1 s  
mortes| m ˈɔːɔː t s  
mosan|m ˈɔ7 s aː1 n 
moscou|m ˈɔ7 s k w w
moscow| m ˈɒ7 s k əʊəʊ  
moses| m ˈəʊəʊ s ɪ1 z  
moshe|m ˈɔ7 s h ɛ1 
moskva|ˈɛ1 m əː2  ˈɔ1  ˈɛɜ s  k ˈaː1  v ˈe1  ˈaː7 
moss| m ˈɒ7 s  
mossad| m əʊəʊ s ˈɑː7 d  
motj|m ˈɔ7 t̪ ʒ 
moto|m ˈɔ7 t̪ ɔ1 
motodaka| m ˌɒ1 t ə1 d ˈɑː7 k ə1  
motogp|ˈɛ1 m əː2  ˈɔ1  t ˈe1  ˈɔ1  ð ˈe7  p ˈe7 
motoplex| m ˈɒ7 t ə1 p l ˌɛ1 k s  
motor| m ˈəʊəʊ t əə  
motorcycle| m ˈəʊəʊ t əə s ˌaɪ1 k ələl  
motors| m ˈəʊəʊ t əə z  
motrin|m ˈɔ7 tʃ i1 n 
motuzianyk| m ə1 t j ˈuː7 z iə1 n ˌɪ1 k  
motyzhyn|m ˈɔ7 t̪ i1 z h ˌi1 n 
mou|m w w 
moukoko|ˈɛ1 m əː2  ˈɔ1  ˈu1  k ˈaː1  ˈɔ1  k ˈaː1  ˈɔ7 
mount|m w w n t̪ 
mountain| m ˈaʊ7 n t ɪ1 n  
mountains”| m ˈaʊ7 n t ɪ1 n z  
mourinho| m ɜː1 ɹ ˈɪ7 n h əʊəʊ  
mouse|m w w s ˈɛ7 
mousse|m w w s s ˈɛ7 
moutet|(en) m aʊ1 t ˈɛ7 t (vi)
mouth| m ˈaʊ7 θ  
mouth’’| m ˈaʊ7 θ  
movenpick| m ˈuː7 v ə1 n p ˌɪ1 k  
moxi|m ˈɔ7 s i1 
moxifloxacin| m ˈɒ7 k s ɪ1 f l ˌɒ1 k s ɐɐ s ˌɪ1 n  
moya|m w ˈiə7 
moyes| m ˈɔɪ7 z  
mozzadiso| m ˌɒ1 z ɐɐ d ˈaɪ7 z əʊəʊ  
món|m ˈɔɜ n 
mót|m ˈɔɜ t̪ 
mô|m ˈɔ7 
môn|m ˈɔ7 n 
mõm|m ˈɔ5 m 
mỏ|m ˈɔ4 
mỏng|m ˈɔ4 ŋ 
mọi|m ˌɔ6 j 
một|m ˈɔ6 t̪ 
moạcou|m w ˈaː6 k w w
mpn|ˌɛ1 m əː2 p ˌe1 ˈɛ7 n əː2 
mpv|ˌɛ1 m əː2 p ˌe1 v ˈe7 
mr|ˌɛ1 m əː2 ˈɛ7 ʐ əː2
mrap| ˈɛ1 m ɹ ˈa7 p  
mrb|ˌɛ1 m əː2 ˌɛ1 ʐ əː2 b ˈe7 
mrna|m z n ˈaː7 
mrt|ˌɛ1 m əː2 ˌɛ1 ʐ əː2 t ˈe7 
msb|ˌɛ1 m əː2 ˌɛɜ s b ˈe7 
msc|ˌɛ1 m əː2 ˌɛɜ s s ˈe7 
msh|ˌɛ1 m əː2 ˌɛɜ s h ˈaɜ t 
msn|ˌɛ1 m əː2 ˌɛɜ s ˈɛ7 n əː2 
mswane| ˈɛ1 m s w ˈɒ7 n  
mt|ˌɛ1 m əː2 t ˈe7 
mtm|ˌɛ1 m əː2 t ˌe1 ˈɛ7 m əː2 
mttq|ˌɛ1 m əː2 t ˌe1 t ˌe1 k w ˈi7 
mtv|ˌɛ1 m əː2 t ˌe1 v ˈe7 
mua|m ˈuə7 
muang|m ˈuə7 ŋ 
mua”|m ˈuə7 
mudasser| m j ˈuː7 d a1 s əə  
mudie| m j ˈuː7 d ii  
mudryk| m ˈʌ7 d ɹ ɪ1 k  
mueller| m j ˈuː7 ə1 l əə  
mugler| m ˈʌ7 ɡ l əə  
muhammad| m ə1 h ˈa7 m ɪ1 d  
muharir| m j ˈuː7 h ɑːɑː ɹ ˌiə1  
muhyiddin| m ˈʌ7 h ɪ1  ˌɪ1 d ɪ1 n  
mukesh| m j ˈuː7 k ɛ1 ʃ  
mukiele| m j ˈuː7 k iː1 l  
mulan| m j ˈʊ7 l a1 n  
muller| m ˈʌ7 l əə  
mullin| m ˈʌ7 l ɪ1 n  
multi| m ˈʌ7 l t ii  
multimedia| m ˌʌ1 l t ɪ1 m ˈiː7 d iː1  ə1  
mumbai| m ʊ1 m b ˈaɪ7  
mundo| m ˈʌ7 n d əʊəʊ  
mung|m ˈu7 ŋ 
munger| m ˈʌ7 n dʒ əə  
munich| m j ˈuː7 n ɪ1 k  
murakami| m j ˌʊə1 ɹ ɐɐ k ˈɑː7 m ii  
murat| m j ˈʊə7 ɹ a1 t  
murdoch| m ˈɜː7 d ɒ1 k  
murray| m ˈʌ7 ɹ eɪ1  
murtough| m ˈɜː7 t ʌ1 f  
musah| m j ˈuː7 s ə1  
musaozũ| m j ˌuː1 s eɪ1 ˈɒ7 z uː1  
museveni| m j ˈuː7 z ɪ1 v ˌɛ1 n ii  
musiala| m j ˈuː1 z ii  ˈɑː7 l ə1  
music| m j ˈuː7 z ɪ1 k  
musk| m ˈʌ7 s k  
mussolini|(en) m ˌʌ1 s ə1 l ˈiː7 n ɪ1 (vi)
musséc|(en) m ʌ1 s ˈeɪ7 k (vi)
mutawa| m j uː1 t ˈɑː7 w ə1  
mutuel|(en) m j ˈuː7 t j uː1 l (vi)
mutya| m j ˈuː7 t ɪ1  ə1  
muzik| m j ˈuː7 z ɪ1 k  
muà|m ˈuə2 
muối|m ˈuəɜ j 
muốn|m ˈuəɜ n 
muỗi|m ˈuə5 j 
muỗng|m ˈuə5 ŋ 
mùa|m ˈuə2 
mùi|m ˈu2 j 
múa”|m ˈuəɜ 
mũi|m ˈu5 j 
mục|m ˈu6 c 
muּa|ˈɛ1 m əː2  ˈu1    h ˈiː1 b ɹ uː1  d ˈa1 ɡ ɛ1 ʃ   ˈaː7 
muối|m ˈuəɜ j 
muốn|m ˈuəɜ n
muốn’|m ˈuəɜ n 
muốt|m ˈuəɜ t̪
muồng|m ˈuə2 ŋ 
muỗm|m ˈuə5 m
muộn|m ˈuə6 n 
mu…|m ˈu7 
mv|ˌɛ1 m əː2 v ˈe7 
mva|m v ˈaː7 
mvb|ˌɛ1 m əː2 v ˌe1 b ˈe7 
mwale| ˈɛ1 m w ˈeɪ7 l  
mwg|ˌɛ1 m əː2 v ˌe1 k ˌɛɜ p ð ˈe7 
mxh|ˌɛ1 m əː2 ˌiɜ c h ˈaɜ t 
mxv|ˌɛ1 m əː2 ˌiɜ c v ˈe7 
my|m ˈi7
myamar| m ˈaɪ7  a1 m əə  
myanma|m ˈiə7 n m aː1 
myanmar| m j ˈɑː7 n m ɑːɑː  
myanmar”| m j ˈɑː7 n m ɑːɑː  
mykhailo| m ɪ1 k h ˈeɪ7 l əʊəʊ  
mykolaiv| m ˈaɪ7 k ə1 l ˌeɪ1 v  
mykyta| m ˈaɪ7 k ɪ1 t ə1  
myles| m ˈaɪ7 l z  
myparking| m ˈaɪ7 p ɑːɑː k ɪ1 ŋ  
mytv| m ˈɪ7 t iː1 v ˌiː1  
myung| m ˈaɪ7  ʌ1 ŋ  
mỹ|m ˈi5 
mz|ˌɛ1 m əː2 z ˈɛɜ t 
mà|m ˌaː2
màchúng| m ˈa7 tʃ ʌ1 ŋ  
mài”|m ˈaː2 j 
màng|m ˈaː2 ŋ 
mành|m ˈe-2 ɲ
mành…|m ˈe-2 ɲ 
màu|m ˈa2 w 
màu”|m ˈa2 w 
mày|m ˈa2 j
mà…|m ˌaː2 
mác|m ˈaːɜ c 
mách|m ˈe-ɜ c
mái|m ˈaːɜ j
mái”|m ˈaːɜ j 
mán|m ˈaːɜ n
máo|m ˈaːɜ w
mát|m ˈaːɜ t̪
mátxcơva|m ˈaːɜ t̪ s k əː1 v ˌaː1 
mát…|m ˈaːɜ t̪ 
máu|m ˈaɜ w 
máu’|m ˈaɜ w 
máu”|m ˈaɜ w 
máu…|m ˈaɜ w 
máy|m ˈaɜ j 
máy…|m ˈaɜ j 
má”|m ˈaːɜ 
mâm|m ˈə7 m 
mâu|m ˈə1 w
mây|m ˈəɪ7 
mây”|m ˈəɪ7 
mất|m ˈəɜ t̪ 
mã|m ˈaː5 
mãi|m ˈaː5 j
mãi'|m ˈaː5 j 
mãn|m ˈaː5 n
mãng|m ˈaː5 ŋ
mãnh|m ˈe-5 ɲ
mã’|m ˈaː5 
mã”|m ˈaː5 
mè|m ˈɛ2
mèn|m ˈɛ2 n
mèng|m ˈɛ2 ŋ
mèo|m ˈɛ2 w 
mèο|m ˌɛ2 o1  m ˈi1  k ʐ ˈɔ7 n 
mé|m ˈɛɜ
médiocrllé|(en) m ˌeɪ1 d ɪ1  ˌɒ1 k ə1 l ˈeɪ7 (vi)
mélenchon| m ˈeɪ7 l ɛ1 n tʃ ə1 n  
mélia|m ˈɛɜ l iə1
mém|m ˈɛɜ m
méo|m ˈɛɜ w 
métier|(en) m ˈeɪ7 t ii  əə (vi)
mê|m ˈe7
même|m ˈe7 m ɛ1
mên|m ˈe7 n
mênh|m ˈe7 ɲ
mềm|m ˈe2 m 
mê”|m ˈe7 
mì|m ˈi2 
mình|m ˈi2 ɲ
mình'|m ˈi2 ɲ 
mình”|m ˈi2 ɲ 
mìnһ|ˈɛ1 m əː2  ˈi2  ˈɛ1 n əː2    s ɪ1 ɹ ˈɪ1 l ɪ1 k  l ˈe1 t ə1   b ˈoɜ n  b ˈe1  b ˈe7  
mí|m ˈiɜ 
mía|m ˈiəɜ
mích|m ˈiɜ c
míp|m ˈiɜ p
mít|m ˈiɜ t̪ 
mít…|m ˈiɜ t̪ 
míu|m ˈiɜ w
mòn|m ˈɔ2 n
mòng|m ˈɔ2 ŋ
mói|m ˈɔɜ j
món|m ˈɔɜ n 
mô|m ˈo7
môc|m ˈo7 k 
môi|m ˈo7 j
môinghiện|m ˈo7 j ŋ iɛ6 n 
môi”|m ˈo7 j 
môn|m ˈo7 n 
môn”|m ˈo7 n 
môt|m ˈo7 t̪
môtíp|m ˈo7 t̪ iɜ p 
mối|m ˈoɜ j 
mỗi|m ˌo5 j 
mộ|m ˈo6 
một|m ˈo6 t̪ 
mõ|m ˈɔ5 
mövenpick| m ˈɜː7 v ə1 n p ˌɪ1 k  
mù|m ˈu2 
mùa|m ˈuə2
mùa”|m ˈuə2 
mùi|m ˈu2 j 
mú|m ˈuɜ
múa”|m ˈuəɜ 
múa…|m ˈuəɜ 
mún|m ˈuɜ n
măn|m ˈa7 n
măng|m ˈa7 ŋ
măng”|m ˈa7 ŋ 
mắt|m ˈaɜ t̪ 
mặc|m ˈa6 c 
mặn|m ˈa6 n 
mặt|m ˈa6 t̪ 
mĩ|m ˈi5
mĩm|m ˈi5 m
mũ|m ˈu5
mũi|m ˈu5 j
mũm|m ˈu5 m
mũn|m ˈu5 n 
mơ|m ˈəː7 
mơm|m ˈəː7 m
mơn|m ˈəː7 n
mơng|m ˈəː7 ŋ 
mơnuy|m ˈəː7 n w i1
mơr| m ˈɔːɔː  
mời|m ˈəː2 j 
mới|m ˈəːɜ j 
mở|m ˈəː4 
mơ”|m ˈəː7 
mơ…|m ˈəː7 
mưa|m ˈyə7
mưa’|m ˈyə7 
mưa”|m ˈyə7 
mưng|m ˈy7 ŋ 
mưu|m ˈi7 w
mưu”|m ˈi7 w 
mươi|m ˈyə7 j
mượn|m ˈyə6 n 
mừng|m ˈy2 ŋ 
mức|m ˈyɜ c 
mực|m ˈy6 c 
mưּa”|ˈɛ1 m əː2  ˈy1    h ˈiː1 b ɹ uː1  d ˈa1 ɡ ɛ1 ʃ   ˈaː7 
mướp…|m ˈyəɜ p 
mườn|m ˈyə2 n
mượn|m ˈyə6 n 
mạch|m ˈe-6 c 
mạch”|m ˈe-6 c 
mạch…|m ˈe-6 c 
mại|m ˈaː6 j
mại”|m ˈaː6 j 
mạng|m ˈaː6 ŋ 
mạng”|m ˈaː6 ŋ 
mạnh|m ˈe-6 ɲ
mạnh”|m ˈe-6 ɲ 
mạo|m ˈaː6 w 
mạo”|m ˈaː6 w 
mạp|m ˈaː6 p
mạy|m ˈa6 j
mặt|m ˈaː6 t̪ 
mạּi|ˈɛ1 m əː2  ˈaː6    h ˈiː1 b ɹ uː1  d ˈa1 ɡ ɛ1 ʃ   ˈi7 
mảnh|m ˈe-4 ɲ
mảy|m ˈa4 j
mấp|m ˈəɜ p
mất|m ˈəɜ t̪
mấy|m ˈəɪɜ
mầm”|m ˈə2 m 
mầu|m ˈə2 w
mẩm|m ˈə4 m
mẩn|m ˈə4 n
mẩy|m ˈəɪ4
mẩy“|m ˈəɪ4 
mẫm|m ˈə5 m
mẫu|m ˈə5 w
mẫu”|m ˈə5 w 
mận|m ˈə6 n
mập|m ˈə6 p 
mật|m ˈə6 t̪
mật”|m ˈə6 t̪ 
mắc|m ˈaɜ c 
mắc”|m ˈaɜ c 
mắm”|m ˈaɜ m 
mắn|m ˈaɜ n 
mắng|m ˈaɜ ŋ
mắt|m ˈaɜ t̪
mắt”|m ˈaɜ t̪ 
mằn|m ˈa2 n
mẳn|m ˈa4 n
mặ|m ˈa6 
mặc|m ˈa6 c 
mặt|m ˈa6 t̪
mặt’|m ˈa6 t̪ 
mặt“|m ˈa6 t̪ 
mặt”|m ˈa6 t̪ 
mặt…|m ˈa6 t̪ 
mặּc|ˈɛ1 m əː2  ˈa6    h ˈiː1 b ɹ uː1  d ˈa1 ɡ ɛ1 ʃ   s ˈe7 
mẹ|m ˈɛ6
mẹt|m ˈɛ6 t̪
mẹ”|m ˈɛ6 
mẹ…|m ˈɛ6 
mẻ|m ˈɛ4 
mẻng|m ˈɛ4 ŋ
mẽ|m ˈɛ5 
mẽ”|m ˈɛ5 
mếch|m ˈeɜ c
mềm|m ˈe2 m 
mềm”|m ˈe2 m 
mềm…|m ˈe2 m 
mềnh|m ˈe2 ɲ 
mễ|m ˈe5 
mệ|m ˈe6
mệnh|m ˈe6 ɲ
mệnh”|m ˈe6 ɲ 
mệnһ|ˈɛ1 m əː2  ˈe6  ˈɛ1 n əː2    s ɪ1 ɹ ˈɪ1 l ɪ1 k  l ˈe1 t ə1   b ˈoɜ n  b ˈe1  b ˈe7  
mệt|m ˈe6 t̪
mệt”|m ˈe6 t̪ 
mỉ|m ˈi4
mịch|m ˈi6 c
mọ|m ˈɔ6
mọc|m ˈɔ6 k 
mọi|m ˌɔ6 j
một|m ˈɔ6 t̪ 
mọі|ˈɛ1 m əː2  ˈɔ6    s ɪ1 ɹ ˈɪ1 l ɪ1 k  l ˈe1 t ə1   b ˈoɜ n  n ˈa1 m  s ˈaʊɜ  
mỏ|m ˈɔ4
mỏm|m ˈɔ4 m
mỏng|m ˈɔ4 ŋ 
mỏ”|m ˈɔ4 
mố|m ˈoɜ 
mối|m ˈoɜ j 
mốt|m ˈoɜ t̪
mồi|m ˈo2 j
mồm|m ˈo2 m
mồn|m ˈo2 n
mỗ|m ˈo5
mỗi|m ˌo5 j
mộ|m ˈo6 
mộc”|m ˈo6 k 
mộc…|m ˈo6 k 
mộng|m ˈo6 ŋ 
mộng’|m ˈo6 ŋ 
mộng“|m ˈo6 ŋ 
mộng”|m ˈo6 ŋ 
mộng…|m ˈo6 ŋ 
một|m ˈo6 t̪
mộtđam|m ˈo6 t̪ aː1 m 
một”|m ˈo6 t̪ 
mộ”|m ˈo6 
mới|m ˈəːɜ j
mới’|m ˈəːɜ j 
mới”|m ˈəːɜ j 
mới…|m ˈəːɜ j 
mớp|m ˈəːɜ p
mớі|ˈɛ1 m əː2  ˈəːɜ    s ɪ1 ɹ ˈɪ1 l ɪ1 k  l ˈe1 t ə1   b ˈoɜ n  n ˈa1 m  s ˈaʊɜ  
mờ|m ˈəː2
mời|m ˈəː2 j
mời’|m ˈəː2 j 
mờ’|m ˈəː2 
mờ…|m ˈəː2 
mở|m ˈəː4
mởn|m ˈəː4 n
mở”|m ˈəː4 
mỡ|m ˈəː5
mỡ”|m ˈəː5 
mợ|m ˈəː6
mục|m ˈu6 c
mủng|m ˈu4 ŋ
mức|m ˈyɜ c 
mức“|m ˈyɜ c 
mức”|m ˈyɜ c 
mừng|m ˈy2 ŋ
mực|m ˈy6 c 
mựng|m ˈy6 ŋ 
mỳ|m ˈi2
mỵ|m ˈi6
mỷ|m ˈi4
mỹ|m ˈi5
mỹ”|m ˈi5 
mỹ…|m ˈi5 
m’drak| ˈɛ1 m d ɹ ˈa7 k  
m’droh|ˈɛ1 m əː2 z z ˈɔ7 h 
m’gar| ˈɛ1 m ɡ ˈɑːɑː  
m’smarty| ˈɛ1 m s m ˈɑːɑː t ii  
n|ˈɛ7 n əː2
n'golo|n ɣ ˈɔ7 l ɔ1 
na|n ˈaː7 
naby| n ˈeɪ7 b ii  
nacional| n ˈa7 ʃ ə1 n ələl  
nadal| n ˈeɪ7 d ələl  
nadal”| n ˈeɪ7 d ələl  
nadella| n eɪ1 d ˈɛ7 l ə1  
nadhim| n ˈa7 d h ɪ1 m  
nafel| n ˈeɪ7 f ələl  
nafoods| n ˈa7 f uː1 d z  
naft|ˈɛ1 n əː2  ˈaː1  ˈɛɜ p  t ˈe7 
naftali| n aa f t ˈɑː7 l ii  
nagaenthran| n ˈa7 ɡ iː1 n θ ɹ ə1 n  
nagar| n ˈa7 ɡ əə  
nagelsmann| n ˈeɪ7 dʒ l s m ə1 n  
nagorno| n a1 ɡ ˈɔːɔː n əʊəʊ  
naidji|n ˈaː7 j z ʒ i1 
nail| n ˈeɪ7 l  
naing| n ˈeɪ7 ŋ  
nakamoto| n ˌa1 k ɐɐ m ˈəʊəʊ t əʊəʊ  
nakaoka| n ˈa7 k eɪ1 ˌɒ1 k ə1  
nakedbike| n ˈeɪ7 k ɪ1 d b ˌaɪ1 k  
nakhi| n ˈa7 k aɪ1  
nakia| n ˈa7 k ii  ə1  
naksu| n ˈa7 k s uː1  
nalcn| n ˈa7 l k ə1 n  
naly| n ˈɑː7 l ii  
nam|n ˈaː7 m
namcito| n a1 m s ˈiː7 t əʊəʊ  
namor| n ˈa7 m əə  
nam’|n ˈaː7 m 
nam”|n ˈaː7 m 
nam…|n ˈaː7 m 
nanaia| n ˈa7 n eɪ1 ə1  
nancy| n ˈa7 n s ii  
nang|n ˈaː7 ŋ
nano| n ˌa1 n əʊəʊ  
nan…|n ˈaː7 n 
naphat| n ˈa7 f a1 t  
napoleon| n ɐɐ p ˈəʊəʊ l ɪ1  ə1 n  
napoli| n ˈa7 p ɒ1 l ii  
napoléon| n ˈa7 p ə1 l ˌeɪ1 ə1 n  
nara| n ˈɑːɑː ɹ ə1  
narendra| n ˈa7 ɹ ɛ1 n d ɹ ə1  
nasa| n ˈa7 s ɐɐ  
nasams| n ˈa7 s ə1 m z  
nasdaq| n ˈa7 s d a1 k  
nasser| n ˈa7 s əə  
nassr| n ˈa7 s əə  
natalia| n eɪ1 t ˈeɪ7 l iə1  
natalya| n ˈeɪ7 t ɐɐ l ɪ1  ə1  
nathan| n ˈeɪ7 θ ə1 n  
nation| n ˈeɪ7 ʃ ə1 n  
national| n ˈa7 ʃ əə n ələl  
nations| n ˈeɪ7 ʃ ə1 n z  
natixis| n a1 t ˈɪ7 k s ɪ1 s  
nato| n ˈeɪ7 t əʊəʊ  
natrumax| n ˈa7 t ɹ uː1 m ˌa1 k s  
natural| n ˈa7 tʃ ə1 ɹ ələl  
nature| n ˈeɪ7 tʃ əə  
nature’s| n ˈeɪ7 tʃ əə z  
nauy|n ˈa7 w i1 
navara| n a1 v ˈɑːɑː ɹ ə1  
navarro| n a1 v ˈɑːɑː ɹ əʊəʊ  
navy| n ˈeɪ7 v ii  
nawa| n ˈɑː7 w ə1  
nawat| n ˈa7 w ɒ1 t  
nay|n ˈa7 j
nay”|n ˈa7 j 
nay…|n ˈa7 j 
nàng|n ˈaː2 ŋ 
nành|n ˈe-2 ɲ 
nào|n ˈaː2 w 
này|n ˈa2 j 
nâng|n ˈaː7 ŋ 
năng|n ˈaː7 ŋ 
nản|n ˈaː4 n 
nạn|n ˈaː6 n 
nạt”|n ˈaː6 t̪ 
na’vi| n ˈa7 v ii  
naⱳfel|ˈɛ1 n əː2  ˈaː1  l ˈe1 t ə1  h ˈaːɪ1  s ˈe1   b ˈaɪ4   b ˈaː1   ˈɛɜ p  ˈɛ1  ˈɛ7 l əː2 
nba|n b ˈaː7 
nbc|ˌɛ1 n əː2 b ˌe1 s ˈe7 
ncbi| ˌɛ1 n s ˌiː1 b ˌiː1  ˈaɪ7  
ncf|ˌɛ1 n əː2 s ˌe1 ˈɛɜ p 
nckh|ˌɛ1 n əː2 s ˌe1 k ˌaː1 h ˈaɜ t 
ncov|n k ˈɔ7 v 
ncsist| ˌɛ1 n s ˈiː1 s ˈɪ7 s t  
nda|n z ˈaː7 
ndt|ˌɛ1 n əː2 d ˌe1 t ˈe7 
ne|n ˈɛ7
neal| n ˈiː7 l  
nec| n ˈɛ7 k  
nedeljko| n ɛ1 d ˈɛ7 l dʒ k əʊəʊ  
nefertiti”| n ˌɛ1 f əə t ˈiː7 t ii  
negotiation| n ɪ1 ɡ ˌəʊəʊ ʃ ɪ1  ˈeɪ7 ʃ ə1 n  
negrine| n ˈɛ7 ɡ ɹ iː1 n  
neil| n ˈiː7 l  
nemiroff| n ˈɛ7 m ɪ1 ɹ ˌɒ1 f  
nemo| n ˈiː7 m əʊəʊ  
nepal| n ɛ1 p ˈɔː7 l  
nepo| n ˈiː7 p əʊəʊ  
neptune| n ˈɛ7 p t j uː1 n  
ner|(en) n ˈɜː7 (vi)
nerazzurri| n ˈɛ7 ɹ ɐɐ z ˌʌ1 ɹ ii  
nesdc| n ˈɛ7 z d k  
nest| n ˈɛ7 s t  
nesyri| n ˈɛ7 s ɪ1 ɹ ii  
net|(en) n ˈɛ7 t (vi) 
netanyahu| n ˌɛ1 t ɐɐ n ɪ1  ˈɑː7 h uː1  
netease| n ˈɛ7 t iː1 z  
netflix| n ˈɛ7 t f l ɪ1 k s  
netizen| n ˈɛ7 t ɪ1 z ə1 n  
network| n ˈɛ7 t w ɜː1 k  
neuer| n j ˈuː7 əə  
neul| n j ˈuː7 l  
neuroscience| n j ˈuː7 ɹ ə1 s ˌaɪə1 n s  
nevada| n ɪ1 v ˈɑː7 d ə1  
neveda| n ˈɛ7 v ɛ1 d ə1  
neves| n ˈiː7 v z  
neville| n ˈɛ7 v ɪ1 l  
nevski| n ˈɛ7 v s k ɪ1  
new| n j ˈuː7  
newcastle| n j ˈuː7 k aa s ələl  
