&| v ˈɛ
kayakçının|k a j a k tʃ ɯ n ˈɯ n
kayalar|k a j a ɫ ˈa r
kayalara|k a j a ɫ a ɾ ˈa
kayalık|k a j a ɫ ˈɯ k
kayalıklar|k a j a ɫ ɯ k ɫ ˈa r
kayalıklara|k a j a ɫ ɯ k ɫ a ɾ ˈa
kayalıklarda|k a j a ɫ ɯ k ɫ a r d ˈa
kayalıklardaki|k a j a ɫ ɯ k ɫ a r d a k ˈɪ
kayalığına|k a j a ɫ ɯɯ ɯ n ˈa
kayan|k a j ˈa n
kayanın|k a j a n ˈɯ n
kayaoğlu|k a j a oː ɫ ˈʊ
kayapa|k a j a p ˈa
kayapınar|k a j a p ɯ n ˈa r
kayar|k a j ˈa r
kayarak|k a j a ɾ ˈa k
kayasına|k a j a s ɯ n ˈa
kayaya|k a j a j ˈa
kayayı|k a j a j ˈɯ
kayaçlar|k a j a tʃ ɫ ˈa r
kayaçlarda|k a j a tʃ ɫ a r d ˈa
kayağı|k a j aː ˈɯ
kayaşehir|k a j a ʃ e h ˈɪ r
kaya’nın|k a j a n ˈɯ n
kaya’ya|k a j a j ˈa
kaya’yı|k a j a j ˈɯ
kayba|k a j b ˈa
kaybedar|k a j b e d ˈa r
kaybedebileceğiniz|k a j b e d e b i l e dʒ ˈe j i n ɪ z
kaybedebilir|k a j b e d e b i l ˈɪ r
kaybedebilirsiniz|k a j b e d e b i l ˈɪ r s i n ɪ z
kaybedebiliyor|k a j b e d e b i l ˈi j ɔ r
kaybedebiliyoruz|k a j b e d e b i l ˈi j o ɾ ʊ z
kaybedecek|k a j b e d e dʒ ˈɛ k
kaybedeceklerinden|k a j b e d e dʒ ɛ k l e ɾ ɪ n d ˈæ n
kaybedeceklerini|k a j b e d e dʒ ɛ k l e ɾ i n ˈɪ
kaybedeceksin|k a j b e d e dʒ ɛ k s ˈɪ n
kaybedeceği|k a j b e d e dʒ e j ˈɪ
kaybedeceğim|k a j b e d e dʒ ˈe j ɪ m
kaybedeceğini|k a j b e d e dʒ e j i n ˈɪ
kaybeden|k a j b e d ˈæ n
kaybedene|k a j b e d e n ˈɛ
kaybedeni|k a j b e d e n ˈɪ
kaybedenler|k a j b e d æ n l ˈɛ r
kaybedenlerden|k a j b e d æ n l ɛ r d ˈæ n
kaybedenlere|k a j b e d æ n l e ɾ ˈɛ
kaybedenleri|k a j b e d æ n l e ɾ ˈɪ
kaybedenlerin|k a j b e d æ n l e ɾ ˈɪ n
kaybeder|k a j b e d ˈɛ r
kaybeder'|k a j b e d ˈɛ r
kaybederek|k a j b e d e ɾ ˈɛ k
kaybederim|k a j b e d ˈe ɾ ɪ m
kaybederken|k a j b e d ˈɛ r c æ n
kaybederse|k a j b e d ˈɛ r s ɛ
kaybedersin|k a j b e d ɛ r s ˈɪ n
kaybedildi|k a j b e d ɪ l d ˈɪ
kaybedilebiliyor|k a j b e d i l e b i l ˈi j ɔ r
kaybedilemez|k a j b e d i l e m ˈɛ z
kaybedilen|k a j b e d i l ˈæ n
kaybedilir|k a j b e d i l ˈɪ r
kaybedilmeden|k a j b e d ˈɪ l m e d æ n
kaybedilmiş|k a j b e d ɪ l m ˈɪ ʃ
kaybedip|k a j b e d ˈɪ p
kaybediyor|k a j b e d ˈi j ɔ r
kaybediyorum|k a j b e d ˈi j o ɾ ʊ m
kaybediyoruz|k a j b e d ˈi j o ɾ ʊ z
kaybet|k a j b ˈɛ t
kaybetiğini|k a j b e t i j i n ˈɪ
kaybetme|k a j b ˈɛ t m ɛ
kaybetmeden|k a j b ˈɛ t m e d æ n
kaybetmedi|k a j b ˈɛ t m e d ɪ
kaybetmedik|k a j b ˈɛ t m e d ɪ k
kaybetmediğimiz|k a j b ɛ t m e d ˈi j i m ɪ z
kaybetmek|k a j b ɛ t m ˈɛ k
kaybetmekte|k a j b ɛ t m ɛ k t ˈɛ
kaybetmekten|k a j b ɛ t m ɛ k t ˈæ n
kaybetmemek|k a j b ɛ t m e m ˈɛ k
kaybetmemesi|k a j b ɛ t m e m e s ˈɪ
kaybetmemiştir|k a j b ɛ t m e m ˈɪ ʃ t ɪ r
kaybetmenin|k a j b ˈɛ t m e n ɪ n
kaybetmenize|k a j b ɛ t m ˈe n i z ɛ
kaybetmesi|k a j b ɛ t m e s ˈɪ
kaybetmesin|k a j b ɛ t m e s ˈɪ n
kaybetmesinden|k a j b ɛ t m e s ɪ n d ˈæ n
kaybetmesine|k a j b ɛ t m e s i n ˈɛ
kaybetmesinin|k a j b ɛ t m e s i n ˈɪ n
kaybetmeye|k a j b ˈɛ t m e j ɛ
kaybetmeyecek|k a j b ˈɛ t m e j e dʒ ɛ k
kaybetmeyeceksin|k a j b ɛ t m e j e dʒ ɛ k s ˈɪ n
kaybetmeyeceğiz’’|k a j b ɛ t m e j e dʒ ˈe j ɪ z
kaybetmeyelim|k a j b ˈɛ t m e j e l ɪ m
kaybetmeyen|k a j b ɛ t m e j ˈæ n
kaybetmeyi|k a j b ˈɛ t m e j ɪ
kaybetmeyin|k a j b ɛ t m e j ˈɪ n
kaybetmiyorum|k a j b ɛ t m ˈi j o ɾ ʊ m
kaybetmiş|k a j b ɛ t m ˈɪ ʃ
kaybetmişiz|k a j b ɛ t m ˈi ʃ ɪ z
kaybetmişlerdir|k a j b ɛ t m ɪ ʃ l ˈɛ r d ɪ r
kaybetmişti|k a j b ɛ t m ɪ ʃ t ˈɪ
kaybetmiştir|k a j b ɛ t m ˈɪ ʃ t ɪ r
kaybetse|k a j b ˈɛ t s ɛ
kaybetti|k a j b e tː ˈɪ
kaybettik|k a j b e tː ˈɪ k
kaybettikleri|k a j b e tː ɪ k l e ɾ ˈɪ
kaybettiklerinden|k a j b e tː ɪ k l e ɾ ɪ n d ˈæ n
kaybettiklerini|k a j b e tː ɪ k l e ɾ i n ˈɪ
kaybettiklerini’|k a j b e tː ɪ k l e ɾ i n ˈɪ
kaybettikten|k a j b e tː ɪ k t ˈæ n
kaybettik”|k a j b e tː ˈɪ k
kaybettim|k a j b ˈe tː ɪ m
kaybettim’|k a j b ˈe tː ɪ m
kaybettim”|k a j b ˈe tː ɪ m
kaybettin|k a j b e tː ˈɪ n
kaybettiniz|k a j b ˈe tː i n ɪ z
kaybettirdikleri|k a j b e tː ɪ r d ɪ k l e ɾ ˈɪ
kaybettirdiği|k a j b e tː ɪ r d i j ˈɪ
kaybettireceğini|k a j b e tː i ɾ e dʒ e j i n ˈɪ
kaybettirilen|k a j b e tː i ɾ i l ˈæ n
kaybettirir|k a j b e tː i ɾ ˈɪ r
kaybettirmekle|k a j b e tː ɪ r m ˈɛ k l ɛ
kaybettirmektedir|k a j b e tː ɪ r m ɛ k t ˈe d ɪ r
kaybettirmeyen|k a j b e tː ɪ r m e j ˈæ n
kaybettiyeni|k a j b e tː i j e n ˈɪ
kaybettiği|k a j b e tː i j ˈɪ
kaybettiğim|k a j b e tː ˈi j ɪ m
kaybettiğimiz|k a j b e tː ˈi j i m ɪ z
kaybettiğimizi|k a j b e tː i j ˈi m i z ɪ
kaybettiğinde|k a j b e tː i j ɪ n d ˈɛ
kaybettiğine|k a j b e tː i j i n ˈɛ
kaybettiğini|k a j b e tː i j i n ˈɪ
kaybolan|k a j b o ɫ ˈa n
kayboldu|k a j b ɔ ɫ d ˈʊ
kayboldum|k a j b ɔ ɫ d ˈʊ m
kayboldun|k a j b ɔ ɫ d ˈʊ n
kaybolduysa|k a j b ɔ ɫ d ˈʊ j s a
kaybolduğu|k a j b ɔ ɫ d ˈʊː
kaybolduğuna|k a j b ɔ ɫ d uː n ˈa
kaybolduğunu|k a j b ɔ ɫ d uː n ˈʊ
kaybolduğuyla|k a j b ɔ ɫ d ˈʊː j ɫ a
kaybolma|k a j b ˈɔ ɫ m a
kaybolmadı|k a j b ˈɔ ɫ m a d ɯ
kaybolmalarına|k a j b ɔ ɫ m a ɫ a ɾ ɯ n ˈa
kaybolmaması|k a j b ɔ ɫ m a m a s ˈɯ
kaybolmasın|k a j b ɔ ɫ m a s ˈɯ n
kaybolmasıyla|k a j b ɔ ɫ m a s ˈɯ j ɫ a
kaybolmaya|k a j b ˈɔ ɫ m a j a
kaybolmayacakmış|k a j b ˈɔ ɫ m a j a dʒ a k m ɯ ʃ
kaybolmaz|k a j b ɔ ɫ m ˈa z
kaybolmuş|k a j b ɔ ɫ m ˈʊ ʃ
kaybolmuştu|k a j b ɔ ɫ m ʊ ʃ t ˈʊ
kaybolmuştum|k a j b ɔ ɫ m ˈʊ ʃ t ʊ m
kaybolmuştur|k a j b ɔ ɫ m ˈʊ ʃ t ʊ r
kaybolunca|k a j b o ɫ ʊ n dʒ ˈa
kayboluncaya|k a j b o ɫ ʊ n dʒ a j ˈa
kaybolup|k a j b o ɫ ˈʊ p
kaybolur|k a j b o ɫ ˈʊ r
kayboluyor|k a j b o ɫ ˈu j ɔ r
kaybı|k a j b ˈɯ
kaybıdır|k a j b ˈɯ d ɯ r
kaybımız|k ˈa j b ɯ m ɯ z
kaybımızla|k a j b ˈɯ m ɯ z ɫ a
kaybın|k a j b ˈɯ n
kaybına|k a j b ɯ n ˈa
kaybında|k a j b ɯ n d ˈa
kaybındaki|k a j b ɯ n d a k ˈɪ
kaybından|k a j b ɯ n d ˈa n
kaybını|k a j b ɯ n ˈɯ
kaybının|k a j b ɯ n ˈɯ n
kaybıyla|k a j b ˈɯ j ɫ a
kayda|k a j d ˈa
kaydedeceğiz”|k a j d e d e dʒ ˈe j ɪ z
kaydeden|k a j d e d ˈæ n
kaydederek|k a j d e d e ɾ ˈɛ k
kaydedeğer|k a j d e d e j ˈɛ r
kaydedici|k a j d e d i dʒ ˈɪ
kaydedildi|k a j d e d ɪ l d ˈɪ
kaydedildiği|k a j d e d ɪ l d i j ˈɪ
kaydedildiğini|k a j d e d ɪ l d i j i n ˈɪ
kaydedilecek|k a j d e d i l e dʒ ˈɛ k
kaydedileceğinden|k a j d e d i l e dʒ e j ɪ n d ˈæ n
kaydedilen|k a j d e d i l ˈæ n
kaydedilerek|k a j d e d i l e ɾ ˈɛ k
kaydedilip|k a j d e d i l ˈɪ p
kaydedilir|k a j d e d i l ˈɪ r
kaydedilirken|k a j d e d i l ˈɪ r c æ n
kaydediliyor|k a j d e d i l ˈi j ɔ r
kaydedilmedi|k a j d e d ˈɪ l m e d ɪ
kaydedilmesi|k a j d e d ɪ l m e s ˈɪ
kaydedilmiş|k a j d e d ɪ l m ˈɪ ʃ
kaydedilmişti|k a j d e d ɪ l m ɪ ʃ t ˈɪ
kaydedin|k a j d e d ˈɪ n
kaydedip|k a j d e d ˈɪ p
kaydediyor|k a j d e d ˈi j ɔ r
kaydediyorum|k a j d e d ˈi j o ɾ ʊ m
kaydediyoruz|k a j d e d ˈi j o ɾ ʊ z
kaydetme|k a j d ˈɛ t m ɛ
kaydetmek|k a j d ɛ t m ˈɛ k
kaydetmekte|k a j d ɛ t m ɛ k t ˈɛ
kaydetmesi|k a j d ɛ t m e s ˈɪ
kaydetmeyin|k a j d ɛ t m e j ˈɪ n
kaydetmişti|k a j d ɛ t m ɪ ʃ t ˈɪ
kaydetmiştir|k a j d ɛ t m ˈɪ ʃ t ɪ r
kaydetti|k a j d e tː ˈɪ
kaydettikleri|k a j d e tː ɪ k l e ɾ ˈɪ
kaydettim|k a j d ˈe tː ɪ m
kaydettirdiler|k a j d e tː ɪ r d i l ˈɛ r
kaydettiği|k a j d e tː i j ˈɪ
kaydettiğini|k a j d e tː i j i n ˈɪ
kaydolduktan|k a j d ɔ ɫ d ʊ k t ˈa n
kaydolduğunuz|k a j d ɔ ɫ d ˈuː n ʊ z
kaydı|k a j d ˈɯ
kaydılar|k a j d ɯ ɫ ˈa r
kaydına|k a j d ɯ n ˈa
kaydında|k a j d ɯ n d ˈa
kaydını|k a j d ɯ n ˈɯ
kaydının|k a j d ɯ n ˈɯ n
kaydıracak|k ˈa j d ɯ ɾ a dʒ a k
kaydıraktan|k a j d ɯ ɾ a k t ˈa n
kaydırarak|k a j d ɯ ɾ a ɾ ˈa k
kaydırdığınız|k a j d ɯ r d ˈɯɯ ɯ n ɯ z
kaydırılıp|k a j d ɯ ɾ ɯ ɫ ˈɯ p
kaydıyla|k a j d ˈɯ j ɫ a
kaydığı|k a j d ɯɯ ˈɯ
kaydı”|k a j d ˈɯ
kayema|k a j ˈe m a
kaygan|k a j ɡ ˈa n
kayganlaşan|k a j ɡ a n ɫ a ʃ ˈa n
kayganlaşması|k a j ɡ a n ɫ a ʃ m a s ˈɯ
kaygusuz'un|k a j ɡ u s u z ˈʊ n
kaygı|k a j ɡ ˈɯ
kaygıdan|k a j ɡ ɯ d ˈa n
kaygılandırmadan|k a j ɡ ɯ ɫ a n d ˈɯ r m a d a n
kaygılanma|k a j ɡ ɯ ɫ ˈa n m a
kaygılanmıyorum|k a j ɡ ɯ ɫ a n m ˈɯ j o ɾ ʊ m
kaygılar|k a j ɡ ɯ ɫ ˈa r
kaygılaroğlu|k a j ɡ ɯ ɫ a ɾ oː ɫ ˈʊ
kaygılaroğlu’na|k a j ɡ ɯ ɫ a ɾ oː ɫ u n ˈa
kaygıları|k a j ɡ ɯ ɫ a ɾ ˈɯ
kaygılarımız|k a j ɡ ɯ ɫ ˈa ɾ ɯ m ɯ z
kaygıların|k a j ɡ ɯ ɫ a ɾ ˈɯ n
kaygılarına|k a j ɡ ɯ ɫ a ɾ ɯ n ˈa
kaygılarını|k a j ɡ ɯ ɫ a ɾ ɯ n ˈɯ
kaygılarınız|k a j ɡ ɯ ɫ ˈa ɾ ɯ n ɯ z
kaygılarınızı|k a j ɡ ɯ ɫ ˈa ɾ ɯ n ɯ z ɯ
kaygılar…|k a j ɡ ɯ ɫ ˈa r
kaygılı|k a j ɡ ɯ ɫ ˈɯ
kaygılıyım|k a j ɡ ɯ ɫ ˈɯ j ɯ m
kaygım|k ˈa j ɡ ɯ m
kaygısı|k a j ɡ ɯ s ˈɯ
kaygısına|k a j ɡ ɯ s ɯ n ˈa
kaygısını|k a j ɡ ɯ s ɯ n ˈɯ
kaygısıyla|k a j ɡ ɯ s ˈɯ j ɫ a
kaygısız|k a j ɡ ˈɯ s ɯ z
kaygıyla|k a j ɡ ˈɯ j ɫ a
kayhan|k a j h ˈa n
kayhan’a|k a j h a n ˈa
kayhan’dan|k a j h a n d ˈa n
kaykay|k a j k ˈa j
kayla|k ˈa j ɫ a
kaymadan|k ˈa j m a d a n
kaymak|k a j m ˈa k
kaymakam|k a j m a k ˈa m
kaymakama|k a j m a k ˈa m a
kaymakamlar|k a j m a k a m ɫ ˈa r
kaymakamları|k a j m a k a m ɫ a ɾ ˈɯ
kaymakamlarımız|k a j m a k a m ɫ ˈa ɾ ɯ m ɯ z
kaymakamların|k a j m a k a m ɫ a ɾ ˈɯ n
kaymakamlarına|k a j m a k a m ɫ a ɾ ɯ n ˈa
kaymakamlık|k a j m a k a m ɫ ˈɯ k
kaymakamlıkla|k a j m a k a m ɫ ˈɯ k ɫ a
kaymakamlığı|k a j m a k a m ɫ ɯɯ ˈɯ
kaymakamlığı'na|k a j m a k a m ɫ ɯɯ ɯ n ˈa
kaymakamlığı'nda|k a j m a k a m ɫ ɯɯ ɯ n d ˈa
kaymakamlığı'ndan|k a j m a k a m ɫ ɯɯ ɯ n d ˈa n
kaymakamlığın|k a j m a k a m ɫ ɯɯ ˈɯ n
kaymakamlığından|k a j m a k a m ɫ ɯɯ ɯ n d ˈa n
kaymakamlığını|k a j m a k a m ɫ ɯɯ ɯ n ˈɯ
kaymakamlığının|k a j m a k a m ɫ ɯɯ ɯ n ˈɯ n
kaymakamlığı’nın|k a j m a k a m ɫ ɯɯ ɯ n ˈɯ n
kaymakamı|k a j m a k a m ˈɯ
kaymakamı'nın|k a j m a k a m ɯ n ˈɯ n
kaymakamımız|k a j m a k ˈa m ɯ m ɯ z
kaymakamın|k a j m a k a m ˈɯ n
kaymakamına|k a j m a k a m ɯ n ˈa
kaymakamın…|k a j m a k a m ˈɯ n
kaymaklı|k a j m a k ɫ ˈɯ
kaymakta|k a j m a k t ˈa
kaymak’ın|k a j m a k ˈɯ n
kaymalar|k ˈa j m a ɫ a r
kaymaları|k a j m a ɫ a ɾ ˈɯ
kaymalarını|k a j m a ɫ a ɾ ɯ n ˈɯ
kaymanın|k ˈa j m a n ɯ n
kayması|k a j m a s ˈɯ
kaymasını|k a j m a s ɯ n ˈɯ
kaymaya|k ˈa j m a j a
kaymaz|k a j m ˈa z
kaymağını|k a j m aː ɯ n ˈɯ
kaymek|k a j m ˈɛ k
kaymış|k a j m ˈɯ ʃ
kaynadıktan|k a j n a d ɯ k t ˈa n
kaynak|k a j n ˈa k
kaynaklanabilir|k a j n a k ɫ a n a b i l ˈɪ r
kaynaklanan|k a j n a k ɫ a n ˈa n
kaynaklandığı|k a j n a k ɫ a n d ɯɯ ˈɯ
kaynaklandığını|k a j n a k ɫ a n d ɯɯ ɯ n ˈɯ
kaynaklandığının|k a j n a k ɫ a n d ɯɯ ɯ n ˈɯ n
kaynaklanmaktadır|k a j n a k ɫ a n m a k t ˈa d ɯ r
kaynaklanması|k a j n a k ɫ a n m a s ˈɯ
kaynaklanmıyor|k a j n a k ɫ a n m ˈɯ j ɔ r
kaynaklanmıyord|k a j n a k ɫ a n m ɯ j ˈɔ r d
kaynaklansın|k a j n a k ɫ a n s ˈɯ n
kaynaklanır|k a j n a k ɫ a n ˈɯ r
kaynaklanıyor|k a j n a k ɫ a n ˈɯ j ɔ r
kaynaklanıyor'|k a j n a k ɫ a n ˈɯ j ɔ r
kaynaklar|k a j n a k ɫ ˈa r
kaynaklara|k a j n a k ɫ a ɾ ˈa
kaynaklarda|k a j n a k ɫ a r d ˈa
kaynaklardan|k a j n a k ɫ a r d ˈa n
kaynaklarla|k a j n a k ɫ ˈa r ɫ a
kaynakları|k a j n a k ɫ a ɾ ˈɯ
kaynaklarıma|k a j n a k ɫ a ɾ ˈɯ m a
kaynaklarımız|k a j n a k ɫ ˈa ɾ ɯ m ɯ z
kaynaklarımızdan|k a j n a k ɫ a ɾ ˈɯ m ɯ z d a n
kaynaklarımızı|k a j n a k ɫ a ɾ ˈɯ m ɯ z ɯ
kaynakların|k a j n a k ɫ a ɾ ˈɯ n
kaynaklarına|k a j n a k ɫ a ɾ ɯ n ˈa
kaynaklarında|k a j n a k ɫ a ɾ ɯ n d ˈa
kaynaklarından|k a j n a k ɫ a ɾ ɯ n d ˈa n
kaynaklarını|k a j n a k ɫ a ɾ ɯ n ˈɯ
kaynaklarının|k a j n a k ɫ a ɾ ɯ n ˈɯ n
kaynaklarıyla|k a j n a k ɫ a ɾ ˈɯ j ɫ a
kaynaklı|k a j n a k ɫ ˈɯ
kaynaklıdır|k a j n a k ɫ ˈɯ d ɯ r
kaynaklık|k a j n a k ɫ ˈɯ k
kaynaktan|k a j n a k t ˈa n
kaynaktır”|k a j n ˈa k t ɯ r
kaynakçi|k a j n a k tʃ ˈɪ
kaynakçı|k a j n a k tʃ ˈɯ
kaynak”|k a j n ˈa k
kaynama|k a j n ˈa m a
kaynamanı|k a j n a m a n ˈɯ
kaynamaya|k a j n ˈa m a j a
kaynamaz|k a j n a m ˈa z
kaynamış|k a j n a m ˈɯ ʃ
kaynanasından|k a j n a n a s ɯ n d ˈa n
kaynanasını|k a j n a n a s ɯ n ˈɯ
kaynanasının|k a j n a n a s ɯ n ˈɯ n
kaynar|k a j n ˈa r
kaynarca|k a j n a r dʒ ˈa
kaynarca'da|k a j n a r dʒ a d ˈa
kaynasın|k a j n a s ˈɯ n
kaynatarak|k a j n a t a ɾ ˈa k
kaynatmışlar|k a j n a t m ɯ ʃ ɫ ˈa r
kaynatsan|k a j n ˈa t s a n
kaynattıktan|k a j n a tː ɯ k t ˈa n
kaynatıldıktan|k a j n a t ɯ ɫ d ɯ k t ˈa n
kaynatıldığı|k a j n a t ɯ ɫ d ɯɯ ˈɯ
kaynatılır|k a j n a t ɯ ɫ ˈɯ r
kaynatın|k a j n a t ˈɯ n
kaynatırken|k a j n a t ˈɯ r c æ n
kaynayan|k a j n a j ˈa n
kaynağa|k a j n ˈaː
kaynağı|k a j n aː ˈɯ
kaynağıdır|k a j n aː ˈɯ d ɯ r
kaynağımız|k a j n ˈaː ɯ m ɯ z
kaynağın|k a j n aː ˈɯ n
kaynağına|k a j n aː ɯ n ˈa
kaynağında|k a j n aː ɯ n d ˈa
kaynağından|k a j n aː ɯ n d ˈa n
kaynağını|k a j n aː ɯ n ˈɯ
kaynağının|k a j n aː ɯ n ˈɯ n
kaynağınız|k a j n ˈaː ɯ n ɯ z
kaynaşlı|k a j n a ʃ ɫ ˈɯ
kaynaşma|k a j n ˈa ʃ m a
kaynaşmasında|k a j n a ʃ m a s ɯ n d ˈa
kaynaşmaya|k a j n ˈa ʃ m a j a
kaynaşsın|k a j n a ʃ s ˈɯ n
kaynaştığını|k a j n a ʃ t ɯɯ ɯ n ˈɯ
kaynı|k a j n ˈɯ
kaynım|k ˈa j n ɯ m
kaynıyor|k a j n ˈɯ j ɔ r
kaypak|k a j p ˈa k
kayseri|k ˈa j s e ɾ ɪ
kayseri'de|k a j s e ɾ i d ˈɛ
kayseri'nin|k a j s e ɾ i n ˈɪ n
kayseri'ye|k a j s e ɾ i j ˈɛ
kayserili|k ˈa j s e ɾ i l ɪ
kayserililer|k a j s e ɾ i l i l ˈɛ r
kayserililerin|k a j s e ɾ i l i l e ɾ ˈɪ n
kayseriliyiz|k a j s e ɾ i l ˈi j ɪ z
kayserispor|k a j s e ɾ ɪ s p ˈɔ r
kayserispor'un|k a j s e ɾ ɪ s p o ɾ ˈʊ n
kayserisporlu|k a j s e ɾ ɪ s p ɔ r ɫ ˈʊ
kayserispor’a|k a j s e ɾ ɪ s p o ɾ ˈa
kayseri’de|k a j s e ɾ i d ˈɛ
kayseri’deki|k a j s e ɾ i d e k ˈɪ
kayseri’mizde|k a j s e ɾ ˈi m ɪ z d ɛ
kayseri’mize|k a j s e ɾ ˈi m i z ɛ
kayseri’mizin|k a j s e ɾ ˈi m i z ɪ n
kayseri’nin|k a j s e ɾ i n ˈɪ n
kayseri’ye|k a j s e ɾ i j ˈɛ
kaysuk|k a j s ˈʊ k
kaytazdere|k a j t a z d e ɾ ˈɛ
kaytun|k a j t ˈʊ n
kayyum|k ˈa j j ʊ m
kayyuma|k a j j ˈu m a
kayyumun|k ˈa j j u m ʊ n
kayyumunu|k a j j u m u n ˈʊ
kayyım|k ˈa j j ɯ m
kayü|k a j ˈø
kayı|k a j ˈɯ
kayıhan|k a j ɯ h ˈa n
kayık|k a j ˈɯ k
kayıklar|k a j ɯ k ɫ ˈa r
kayıklarının|k a j ɯ k ɫ a ɾ ɯ n ˈɯ n
kayıkçı|k a j ɯ k tʃ ˈɯ
kayın|k a j ˈɯ n
kayınbiraderi|k a j ɯ n b i ɾ a d e ɾ ˈɪ
kayınbiraderim|k a j ɯ n b i ɾ a d ˈe ɾ ɪ m
kayınbiraderleri|k a j ɯ n b i ɾ a d ɛ r l e ɾ ˈɪ
kayınpederi|k a j ɯ n p e d e ɾ ˈɪ
kayınpederine|k a j ɯ n p e d e ɾ i n ˈɛ
kayınvalide|k a j ɯ n v a l i d ˈɛ
kayınvalidem|k a j ɯ n v a l i d ˈæ m
kayınvalidemle|k a j ɯ n v a l i d ˈæ m l ɛ
kayınvalidesi|k a j ɯ n v a l i d e s ˈɪ
kayınvalidesine|k a j ɯ n v a l i d e s i n ˈɛ
kayıp|k a j ˈɯ p
kayıp'|k a j ˈɯ p
kayıpla|k a j ˈɯ p ɫ a
kayıplar|k a j ɯ p ɫ ˈa r
kayıplara|k a j ɯ p ɫ a ɾ ˈa
kayıplardır|k a j ɯ p ɫ ˈa r d ɯ r
kayıplarla|k a j ɯ p ɫ ˈa r ɫ a
kayıpları|k a j ɯ p ɫ a ɾ ˈɯ
kayıplarımız|k a j ɯ p ɫ ˈa ɾ ɯ m ɯ z
kayıpların|k a j ɯ p ɫ a ɾ ˈɯ n
kayıplarına|k a j ɯ p ɫ a ɾ ɯ n ˈa
kayıplarında|k a j ɯ p ɫ a ɾ ɯ n d ˈa
kayıplarından|k a j ɯ p ɫ a ɾ ɯ n d ˈa n
kayıplarını|k a j ɯ p ɫ a ɾ ɯ n ˈɯ
kayıplarının|k a j ɯ p ɫ a ɾ ɯ n ˈɯ n
kayıplarınızın|k a j ɯ p ɫ ˈa ɾ ɯ n ɯ z ɯ n
kayıpsız|k a j ˈɯ p s ɯ z
kayıptan|k a j ɯ p t ˈa n
kayıptır|k a j ˈɯ p t ɯ r
kayıran|k a j ɯ ɾ ˈa n
kayırma|k a j ˈɯ r m a
kayırmacılıktan|k a j ɯ r m a dʒ ɯ ɫ ɯ k t ˈa n
kayırmacılıktır|k a j ɯ r m a dʒ ɯ ɫ ˈɯ k t ɯ r
kayırmacılığına|k a j ɯ r m a dʒ ɯ ɫ ɯɯ ɯ n ˈa
kayısa|k a j ˈɯ s a
kayısalığı|k a j ɯ s a ɫ ɯɯ ˈɯ
kayısı|k a j ɯ s ˈɯ
kayısı'yı|k a j ɯ s ɯ j ˈɯ
kayısılar|k a j ɯ s ɯ ɫ ˈa r
kayısılı|k a j ɯ s ɯ ɫ ˈɯ
kayısısı|k a j ɯ s ɯ s ˈɯ
kayıt|k a j ˈɯ t
kayıtla|k a j ˈɯ t ɫ a
kayıtlar|k a j ɯ t ɫ ˈa r
kayıtlara|k a j ɯ t ɫ a ɾ ˈa
kayıtlarda|k a j ɯ t ɫ a r d ˈa
kayıtlardan''|k a j ɯ t ɫ a r d ˈa n
kayıtlarla|k a j ɯ t ɫ ˈa r ɫ a
kayıtları|k a j ɯ t ɫ a ɾ ˈɯ
kayıtlarımızda|k a j ɯ t ɫ a ɾ ˈɯ m ɯ z d a
kayıtların|k a j ɯ t ɫ a ɾ ˈɯ n
kayıtlarına|k a j ɯ t ɫ a ɾ ɯ n ˈa
kayıtlarında|k a j ɯ t ɫ a ɾ ɯ n d ˈa
kayıtlarındaki|k a j ɯ t ɫ a ɾ ɯ n d a k ˈɪ
kayıtlarını|k a j ɯ t ɫ a ɾ ɯ n ˈɯ
kayıtlarının|k a j ɯ t ɫ a ɾ ɯ n ˈɯ n
kayıtlarıydı|k a j ɯ t ɫ a ɾ ɯ j d ˈɯ
kayıtlı|k a j ɯ t ɫ ˈɯ
kayıtsız|k a j ˈɯ t s ɯ z
kayıtsızdır|k a j ˈɯ t s ɯ z d ɯ r
kayıtsızlığı|k a j ɯ t s ɯ z ɫ ɯɯ ˈɯ
kayıtta|k a j ɯ tː ˈa
kayıttayken|k a j ɯ tː ˈa j c æ n
kayıyor|k a j ˈɯ j ɔ r
kayıyoruz|k a j ˈɯ j o ɾ ʊ z
kayış|k a j ˈɯ ʃ
kayışoğlu|k a j ɯ ʃ oː ɫ ˈʊ
kayışı|k a j ɯ ʃ ˈɯ
kayışından|k a j ɯ ʃ ɯ n d ˈa n
kaz|k ˈa z
kaza|k a z ˈa
kazablanka|k a z a b ɫ a n k ˈa
kazada|k a z a d ˈa
kazadan|k a z a d ˈa n
kazadır|k a z ˈa d ɯ r
kazakistan|k a z a k ɪ s t ˈa n
kazakistan'a|k a z a k ɪ s t a n ˈa
kazakistan'da|k a z a k ɪ s t a n d ˈa
kazakistan'daki|k a z a k ɪ s t a n d a k ˈɪ
kazakistan'in|k a z a k ɪ s t a n ˈɪ n
kazakistan'ın|k a z a k ɪ s t a n ˈɯ n
kazakistan’da|k a z a k ɪ s t a n d ˈa
kazakistan’daki|k a z a k ɪ s t a n d a k ˈɪ
kazakistan’dan|k a z a k ɪ s t a n d ˈa n
kazakistan’ın|k a z a k ɪ s t a n ˈɯ n
kazaklar|k a z a k ɫ ˈa r
kazaks|k a z ˈa k s
