&| ˈe 
lambe|l ˈɐ̃ m b ɨ
lambendo|l ˌɐ̃ m b ˈeɪ ŋ d ʊ
lamber|l ɐ̃ m b ˈe ɹ
lamberti|l ˌɐ̃ m b ɨ ɾ ə t ˈi
lambes|l ˈɐ̃ m b ɨ ʃ
lambi|l ɐ̃ m b ˈi
lambia|l ˌɐ̃ m b ˈi  ɐ
lambidas|l ˌɐ̃ m b ˈi d ɐ ʃ
lamborghini|l ˌɐ̃ m b u ɾ ə ɡ i n ˈi
lambrequins|l ˌɐ̃ m b ɹ ɨ k ˈi n ʃ
lambuzados|l ˌɐ̃ m b u z ˈa d ʊ ʃ
lambérti|l ˌɐ̃ m b ˈɛ ɾ ə t i
lambê|l ɐ̃ m b ˈe
lamda|l ˈɐ̃ m d ɐ
lamenta|l ɐ m ˈeɪ ŋ t ɐ
lamentado|l ɐ m eɪ ŋ t ˈa d ʊ
lamentam|l ɐ m ˈeɪ ŋ t ɐ̃ʊ̃
lamentamos|l ɐ m eɪ ŋ t ˈɐ̃ m ʊ ʃ
lamentando|l ɐ m eɪ ŋ t ˈɐ̃ ŋ d ʊ
lamentar|l ɐ m eɪ ŋ t ˈa ɹ
lamentaram|l ɐ m eɪ ŋ t ˈa ɾ ɐ̃ʊ̃
lamentasse|l ɐ m eɪ ŋ t ˈa s ɨ
lamentava|l ɐ m eɪ ŋ t ˈa v ɐ
lamentavam|l ɐ m eɪ ŋ t ˈa v ɐ̃ʊ̃
lamentavelmente|l ɐ m ˌeɪ ŋ t ɐ v ɨ l m ˈeɪ ŋ t ɨ
lamentações|l ɐ m ˌeɪ ŋ t ɐ s ˈõ j ʃ
lamentei|l ɐ m eɪ ŋ t ˈeɪ
lamento|l ɐ m ˈeɪ ŋ t ʊ
lamentos|l ɐ m ˈeɪ ŋ t ʊ ʃ
lamentou|l ɐ m eɪ ŋ t ˈo w
lamentáveis|l ɐ m eɪ ŋ t ˈa v eɪ ʃ
lamentável|l ɐ m eɪ ŋ t ˈa v ˌɛ l
lamentável”|l ɐ m eɪ ŋ t ˈa v ˌɛ l
lamim|l ɐ̃ m ˈi ŋ
laminado|l ɐ m i n ˈa d ʊ
laminador|l ɐ m ˌi n ɐ d ˈo ɹ
laminar|l ɐ m i n ˈa ɹ
laminação|l ɐ m ˌi n ɐ s ˈɐ̃ʊ̃
lampard|l ɐ̃ m p ˈa ɾ ə d
lamparina|l ˌɐ̃ m p ɐ ɾ ˈi n ɐ
lamparinas|l ˌɐ̃ m p ɐ ɾ ˈi n ɐ ʃ
lampejo|l ˌɐ̃ m p ˈe ʒ ʊ
lampejos|l ˌɐ̃ m p ˈe ʒ ʊ ʃ
lampions|l ˌɐ̃ m p i  ˈo ŋ ʃ
lampião|l ˌɐ̃ m p i  ˈɐ̃ʊ̃
lamprecht|l ˈɐ̃ m p ɹ ˌɛ ʃ t
lamy|l ˈɐ̃ m i
lanari|l ɐ n ɐ ɾ ˈi
lancaster|l ˌɐ̃ ŋ k ɐ ʃ t ˈe ɹ
lance|l ˈɐ̃ ŋ s ɨ
lancei|l ɐ̃ ŋ s ˈeɪ
lancellotti|l ˌɐ̃ ŋ s ɨ l u t ˈi
lancem|l ˈɐ̃ ŋ s eɪ ŋ
lanceoladas|l ɐ̃ ŋ s ˌi  u l ˈa d ɐ ʃ
lances|l ˈɐ̃ ŋ s ɨ ʃ
lancet|l ɐ̃ ŋ s ˈɛ tʃ
lanceta|l ˌɐ̃ ŋ s ˈe t ɐ
lanchas|l ˈɐ̃ ŋ ʃ ɐ ʃ
lanche|l ˈɐ̃ ŋ ʃ ɨ
lanches|l ˈɐ̃ ŋ ʃ ɨ ʃ
lanchinho|l ˌɐ̃ ŋ ʃ ˈi ɲ ʊ
lanchinhos|l ˌɐ̃ ŋ ʃ ˈi ɲ ʊ ʃ
lanchonete|l ˌɐ̃ ŋ ʃ u n ˈɛ t ɨ
lanchonetes|l ˌɐ̃ ŋ ʃ u n ˈɛ t ɨ ʃ
lancina|l ˌɐ̃ ŋ s ˈi n ɐ
lancinante|l ˌɐ̃ ŋ s i n ˈɐ̃ ŋ t ɨ
land|l ˈɐ̃ ŋ d
landau|l ɐ̃ ŋ d ˈaʊ
landauer|l ˌɐ̃ ŋ d aʊ ˈe ɹ
landim|l ɐ̃ ŋ d ˈi ŋ
landis|l ɐ̃ ŋ d ˈi ʃ
lando|l ˈɐ̃ ŋ d ʊ
landry|l ˈɐ̃ ŋ d ɹ i
landsbergis|l ˌɐ̃ ŋ d z b ɨ ɾ ə ʒ ˈi ʃ
landulfo|l ˌɐ̃ ŋ d ˈu w f ʊ
lane|l ˈɐ̃ n ɨ
lanfredi|l ˌɐ̃ ŋ f ɹ ɨ d ˈi
lang|l ˈɐ̃ ŋ ɡ
langeani|l ˌɐ̃ ŋ ʒ i  ɐ̃ n ˈi
langue|l ˈɐ̃ ŋ ɡ w ɨ
languidamente|l ˌɐ̃ ŋ ɡ w i d ɐ m ˈeɪ ŋ t ɨ
languidez|l ˌɐ̃ ŋ ɡ w i d ˈe ʃ
lanka|l ˈɐ̃ ŋ k ɐ
lanna|l ˈɐ̃ ŋ n ɐ
lansquenete|l ˌɐ̃ ŋ s k ɨ n ˈe t ɨ
lantejoulas|l ˌɐ̃ ŋ t ɨ ʒ ˈo w l ɐ ʃ
lanterna|l ˌɐ̃ ŋ t ˈɛ ɾ ə n ɐ
lanternagem|l ˌɐ̃ ŋ t ɨ ɾ ə n ˈa ʒ eɪ ŋ
lanternas|l ˌɐ̃ ŋ t ˈe ɾ ə n ɐ ʃ
lantzmann|l ɐ̃ ŋ t z m ˈɐ̃ ŋ n
lanza|l ˈɐ̃ ŋ z ɐ
lançada|l ˌɐ̃ ŋ s ˈa d ɐ
lançadas|l ˌɐ̃ ŋ s ˈa d ɐ ʃ
lançado|l ˌɐ̃ ŋ s ˈa d ʊ
lançador|l ˌɐ̃ ŋ s ɐ d ˈo ɹ
lançadora|l ˌɐ̃ ŋ s ɐ d ˈo ɾ ɐ
lançadores|l ˌɐ̃ ŋ s ɐ d ˈo ɾ ɨ ʃ
lançados|l ˌɐ̃ ŋ s ˈa d ʊ ʃ
lançam|l ˈɐ̃ ŋ s ɐ̃ʊ̃
lançamento|l ˌɐ̃ ŋ s ɐ m ˈeɪ ŋ t ʊ
lançamentos|l ˌɐ̃ ŋ s ɐ m ˈeɪ ŋ t ʊ ʃ
lançamento”|l ˌɐ̃ ŋ s ɐ m ˈeɪ ŋ t ʊ
lançamos|l ˌɐ̃ ŋ s ˈɐ̃ m ʊ ʃ
lançando|l ˌɐ̃ ŋ s ˈɐ̃ ŋ d ʊ
lançar|l ɐ̃ ŋ s ˈa ɹ
lançara|l ˌɐ̃ ŋ s ˈa ɾ ɐ
lançaram|l ˌɐ̃ ŋ s ˈa ɾ ɐ̃ʊ̃
lançarei|l ˌɐ̃ ŋ s ɐ ɾ ˈeɪ
lançarem|l ˌɐ̃ ŋ s ˈa ɾ eɪ ŋ
lançará|l ˌɐ̃ ŋ s ɐ ɾ ˈa
lançava|l ˌɐ̃ ŋ s ˈa v ɐ
lançavam|l ˌɐ̃ ŋ s ˈa v ɐ̃ʊ̃
lançei|l ɐ̃ ŋ s ˈeɪ
lançou|l ɐ̃ ŋ s ˈo w
lançá|l ɐ̃ ŋ s ˈa
lançámos|l ˌɐ̃ ŋ s ˈa m ʊ ʃ
lanús|l ɐ̃ n ˈu ʃ
lapa|l ˈa p ɐ
lapelas|l ˌɐ p ˈe l ɐ ʃ
lapid|l ɐ p ˈi d
lapidada|l ˌɐ p i d ˈa d ɐ
lapidado|l ˌɐ p i d ˈa d ʊ
lapidando|l ˌɐ p i d ˈɐ̃ ŋ d ʊ
lapiseira|l ˌɐ p i z ˈeɪ ɾ ɐ
laplace|l ˌɐ p l ˈa s ɨ
laptop|l ɛ p t ˈɔ p
laptops|l ɐ p t ˈo p ʃ
laqueada|l ˌɐ k ɨ ˈa d ɐ
laqueadura|l ˌɐ k ɨ ɐ d ˈu ɾ ɐ
lar|l ˈa ɹ
lara|l ˈa ɾ ɐ
laran|l ɐ ɾ ˈɐ̃ ŋ
larangeira|l ˌɐ ɾ ɐ̃ ŋ ʒ ˈeɪ ɾ ɐ
laranja|l ˌɐ ɾ ˈɐ̃ ŋ ʒ ɐ
laranjal|l ˌɐ ɾ ɐ̃ ŋ ʒ ˈɑ l
laranjas|l ˌɐ ɾ ˈɐ̃ ŋ ʒ ɐ ʃ
laranjeiras|l ˌɐ ɾ ɐ̃ ŋ ʒ ˈeɪ ɾ ɐ ʃ
larco|l ˈa ɾ ə k ʊ
lareira|l ˌɐ ɾ ˈeɪ ɾ ɐ
lares|l ˈa ɾ ɨ ʃ
larfeti|l ˌɐ ɾ ə f ɨ t ˈi
larga|l ˈa ɾ ə ɡ ɐ
largada|l ˌɐ ɾ ə ɡ ˈa d ɐ
largadas|l ˌɐ ɾ ə ɡ ˈa d ɐ ʃ
largamente|l ˌɐ ɾ ə ɡ ɐ m ˈeɪ ŋ t ɨ
largando|l ˌɐ ɾ ə ɡ ˈɐ̃ ŋ d ʊ
largaria|l ˌɐ ɾ ə ɡ ɐ ɾ ˈi  ɐ
largas|l ˈa ɾ ə ɡ ɐ ʃ
largavam|l ˌɐ ɾ ə ɡ ˈa v ɐ̃ʊ̃
largo|l ˈa ɾ ə ɡ ʊ
largos|l ˈa ɾ ə ɡ ʊ ʃ
largou|l ɐ ɾ ə ɡ ˈo w
largue|l ˈa ɾ ə ɡ ɨ
larguei|l ɐ ɾ ə ɡ ˈeɪ
larguinhos|l ˌɐ ɾ ə ɡ ˈi ɲ ʊ ʃ
largura|l ˌɐ ɾ ə ɡ ˈu ɾ ɐ
larguras|l ˌɐ ɾ ə ɡ ˈu ɾ ɐ ʃ
lariane|l ˌɐ ɾ i  ˈɐ̃ n ɨ
laringe|l ˌɐ ɾ ˈi ŋ ʒ ɨ
larissa|l ˌɐ ɾ ˈi s ɐ
larrea|l ˌɐ ʁ ˈi  ɐ
larruci|l ˌɐ ʁ u s ˈi
larry|l ˈa ʁ i
larvas|l ˈa ɾ ə v ɐ ʃ
laryssa|l ˌɐ ɾ ˈi s ɐ
las|l ˈɐ ʃ
lasanha|l ˌɐ z ˈɐ̃ ɲ ɐ
lascado|l ˌɐ ʃ k ˈa d ʊ
lasciva|l ˌɐ s ˈi v ɐ
lascivo|l ˌɐ s ˈi v ʊ
laser|l ˈeɪ z e r
laser'|l ˈeɪ z e r
lasers|l ˈeɪ z e r s
lasmar|l ɐ ʒ m ˈa ɹ
lassig|l ɐ s ˈi ɡ
last|l ˈa ʃ t
lastimavelmente|l ˌɐ ʃ t i m ˌɐ v ɨ l m ˈeɪ ŋ t ɨ
lastpass”|l ɐ ʃ t p ˈa s
lastravam|l ˌɐ ʃ t ɹ ˈa v ɐ̃ʊ̃
lastro|l ˈa ʃ t ɹ ʊ
las”|l ˈɐ ʃ
lata|l ˈa t ɐ
latadas|l ˌɐ t ˈa d ɐ ʃ
latam|l ˈa t ɐ̃ʊ̃
lataria|l ˌɐ t ɐ ɾ ˈi  ɐ
latas|l ˈa t ɐ ʃ
latejando|l ˌɐ t ɨ ʒ ˈɐ̃ ŋ d ʊ
latejante|l ˌɐ t ɨ ʒ ˈɐ̃ ŋ t ɨ
latente|l ˌɐ t ˈeɪ ŋ t ɨ
later|l ɐ t ˈe ɹ
laterais|l ˌɐ t ɨ ɾ ˈaɪ ʃ
laterais”|l ˌɐ t ɨ ɾ ˈaɪ ʃ
lateral|l ˌɐ t ɨ ɾ ˈɑ l
laticínios|l ˌɐ t i s ˈi n iʊ ʃ
latido|l ˌɐ t ˈi d ʊ
latidos|l ˌɐ t ˈi d ʊ ʃ
latif|l ɐ t ˈi f
latifa|l ˌɐ t ˈi f ɐ
latiffa|l ˌɐ t ˈi f ɐ
latifi|l ˌɐ t i f ˈi
latifoliadas|l ˌɐ t i f ˌu l i  ˈa d ɐ ʃ
latifundiários|l ˌɐ t i f ˌũ ŋ d i  ˈa ɾ iʊ ʃ
latim|l ɐ t ˈi ŋ
latin|l ɐ t ˈi n
latina|l ˌɐ t ˈi n ɐ
latinas|l ˌɐ t ˈi n ɐ ʃ
latina”|l ˌɐ t ˈi n ɐ
latindo|l ˌɐ t ˈi ŋ d ʊ
latinha|l ˌɐ t ˈi ɲ ɐ
latino|l ˌɐ t ˈi n ʊ
latinos|l ˌɐ t ˈi n ʊ ʃ
latinoware|l ˌɐ t i n u w ˈa ɾ ɨ
latir|l ɐ t ˈi ɹ
latitude|l ˌɐ t i t ˈu d ɨ
latitudes|l ˌɐ t i t ˈu d ɨ ʃ
latorre|l ˌɐ t ˈɔ ʁ ɨ
latossolo|l ˌɐ t u s ˈɔ l ʊ
latrel|l ɐ t ɹ ˈɛ l
latrocínio|l ˌɐ t ɹ u s ˈi n j ʊ
latrocínios|l ˌɐ t ɹ u s ˈi n iʊ ʃ
latrão|l ɐ t ɹ ˈɐ̃ʊ̃
lau|l ˈaʊ
laubat|l aʊ b ˈa t
laudatória|l ˌaʊ d ɐ t ˈɔ ɾ j ɐ
lauder|l aʊ d ˈe ɹ
laudicério|l ˌaʊ d i s ˈɛ ɾ j ʊ
laudo|l ˈaʊ d ʊ
laudos|l ˈaʊ d ʊ ʃ
laudo”|l ˈaʊ d ʊ
launch|l ˈaʊ n ʃ
laura|l ˈaʊ ɾ ɐ
laure|l ˈaʊ ɾ ɨ
laureados|l ˌaʊ ɾ i  ˈa d ʊ ʃ
laureano|l ˌaʊ ɾ i  ˈɐ̃ n ʊ
laurear|l ˌaʊ ɾ i  ˈa ɹ
lauren|l ˈaʊ ɾ eɪ ŋ
laurence|l ˌaʊ ɾ ˈeɪ ŋ s ɨ
laureno|l ˌaʊ ɾ ˈe n ʊ
laurent|l aʊ ɾ ˈeɪ ŋ t
laurez|l aʊ ɾ ˈe ʃ
laurie|l ˌaʊ ɾ ˈi  ɨ
laurita|l ˌaʊ ɾ ˈi t ɐ
lauro|l ˈaʊ ɾ ʊ
lausanne|l ˌaʊ z ˈɐ̃ ŋ n ɨ
laut|l ˈaʊ t
lauta|l ˈaʊ t ɐ
lautaro|l ˌaʊ t ˈa ɾ ʊ
lautaro…|l ˌaʊ t ˈa ɾ ʊ
lauterbach|l ˌaʊ t ɨ ɾ ə b ˈa ʃ
lava|l ˈa v ɐ
lavada|l ˌɐ v ˈa d ɐ
lavadas|l ˌɐ v ˈa d ɐ ʃ
lavadeira|l ˌɐ v ɐ d ˈeɪ ɾ ɐ
lavadeiras|l ˌɐ v ɐ d ˈeɪ ɾ ɐ ʃ
lavado|l ˌɐ v ˈa d ʊ
lavador|l ˌɐ v ɐ d ˈo ɹ
lavados|l ˌɐ v ˈa d ʊ ʃ
lavagem|l ˌɐ v ˈa ʒ eɪ ŋ
lavagens|l ˌɐ v ˈa ʒ eɪ ŋ ʃ
lavam|l ˈa v ɐ̃ʊ̃
lavamos|l ˌɐ v ˈɐ̃ m ʊ ʃ
lavanderia|l ˌɐ v ɐ̃ ŋ d ɨ ɾ ˈi  ɐ
lavando|l ˌɐ v ˈɐ̃ ŋ d ʊ
lavapiés|l ˌɐ v ɐ p j ˈɛ ʃ
lavar|l ɐ v ˈa ɹ
lavareda|l ˌɐ v ɐ ɾ ˈe d ɐ
lavará|l ˌɐ v ɐ ɾ ˈa
lavas|l ˈa v ɐ ʃ
lavasse|l ˌɐ v ˈa s ɨ
lavatório|l ˌɐ v ɐ t ˈɔ ɾ j ʊ
lavava|l ˌɐ v ˈa v ɐ
lavavam|l ˌɐ v ˈa v ɐ̃ʊ̃
lave|l ˈa v ɨ
lavei|l ɐ v ˈeɪ
lavem|l ˈa v eɪ ŋ
laver|l ɐ v ˈe ɹ
laverna|l ˌɐ v ˈɛ ɾ ə n ɐ
lavigne|l ˌɐ v ˈi ɡ n ɨ
lavo|l ˈa v ʊ
lavor|l ɐ v ˈo ɹ
lavou|l ɐ v ˈo w
lavoura|l ˌɐ v ˈo w ɾ ɐ
lavouras|l ˌɐ v ˈo w ɾ ɐ ʃ
lavradio|l ˌɐ v ɹ ɐ d ˈiʊ
lavrado|l ˌɐ v ɹ ˈa d ʊ
lavrados|l ˌɐ v ɹ ˈa d ʊ ʃ
lavratura|l ˌɐ v ɹ ɐ t ˈu ɾ ɐ
lavrou|l ɐ v ɹ ˈo w
lavrov|l ɐ v ɹ ˈo v
lavínia|l ˌɐ v ˈi n j ɐ
law| l ˈɔː (pt-pt)
lawenda|l ˌɐ w ˈeɪ ŋ d ɐ
lawfare|l ˌɐ w f ˈa ɾ ɨ
lawfere|l ˌɐ w f ˈɛ ɾ ɨ
lawrence|l ˌɐ w ɹ ˈeɪ ŋ s ɨ
lawton|l ɐ w t ˈo ŋ
laxante|l ˌɐ ʃ ˈɐ̃ ŋ t ɨ
lay|l ˈaɪ
layane|l ˌaɪ  ˈɐ̃ n ɨ
layne|l ˈaɪ n ɨ
lays|l ˈaɪ ʃ
lazer|l ɐ z ˈe ɹ
lazio|l ɐ z ˈiʊ
laço|l ˈa s ʊ
laços|l ˈa s ʊ ʃ
laçou|l ɐ s ˈo w
laís|l ɐ ˈi ʃ
laísa|l ˌɐ ˈi z ɐ
laíse|l ˌɐ ˈi z ɨ
la”|l ˈɐ
la…|l ˈɐ
lca|l k ˈɐ
lcd|ˌɛ l s ˌe d ˈe
lda|l d ˈɐ
ldac|l d ˈa k
ldl|ˌɛ l d ˌe ˈɛ l
ldo|l d ˈo
le|l ˈɨ
leader|l ˌi  ɐ d ˈe ɹ
leads|l i  ˈa d ʃ
leaf|l i  ˈa f
league|l ˌi  ˈa ɡ ɨ
leah|l i  ˈa
leahy|l ˌi  ˈa i
leal|l i  ˈɑ l
lealdade|l i  ˌɑ l d ˈa d ɨ
lealdades|l i  ˌɑ l d ˈa d ɨ ʃ
leanderson|l ˌi  ɐ̃ ŋ d ˈe ɾ ə s u ŋ
leandra|l ˌi  ˈɐ̃ ŋ d ɹ ɐ
leandro|l ˌi  ˈɐ̃ ŋ d ɹ ʊ
leao|l i  ˈaʊ
lear|l i  ˈa ɹ
learning| l ˈɜː n ɪ ŋ (pt-pt)
leasing| l ˈiː s ɪ ŋ (pt-pt)
leave|l ˌi  ˈa v ɨ
lebedynske|l ˌe b ɨ d ˈi n s k ɨ
lebid|l ɨ b ˈi d
leblon|l ɨ b l ˈo ŋ
lebre|l ˈɛ b ɹ ɨ
lebron|l ɨ b ɹ ˈo ŋ
lec|l ˈe k
lecanemab|l ˌe k ɐ n ɨ m ˈa b
lecapenos|l ˌe k ɐ p ˈe n ʊ ʃ
lechtchenko|l ˌɛ ʃ t ʃ ˈeɪ ŋ k ʊ
leci|l ɨ s ˈi
leciona|l ˌe s i  ˈo n ɐ
lecionava|l ˌe s i  u n ˈa v ɐ
lecionavam|l ˌe s i  u n ˈa v ɐ̃ʊ̃
leclerc|l ˌɛ k l ˈe ɾ ə k
leco|l ˈɛ k ʊ
lecter|l ˌɛ t ˈe ɹ
lectina|l ˌɛ t ˈi n ɐ
lectivo|l ˌɛ t ˈi v ʊ
led|l ˈe d
ledesma|l ˌe d ˈe ʒ m ɐ
leds|l ˈe d ʃ
lee|l ˈi  ɨ
leed|l i  ˈe d
leeds|l i  ˈe d ʃ
leeo|l ˌi  ˈe ʊ
leery|l ˌi  ˈe ɾ i
leeser|l ˌi  ɨ z ˈɛ ɹ
lega|l ˈɛ ɡ ɐ
legado|l ˌe ɡ ˈa d ʊ
legados|l ˌe ɡ ˈa d ʊ ʃ
legais|l ɨ ɡ ˈaɪ ʃ
legais”|l ɨ ɡ ˈaɪ ʃ
legal|l ɨ ɡ ˈɑ l
legalidade|l ˌe ɡ ɐ l i d ˈa d ɨ
legalidade”|l ˌe ɡ ɐ l i d ˈa d ɨ
legalizada|l ˌe ɡ ɐ l i z ˈa d ɐ
legalizado|l ˌe ɡ ɐ l i z ˈa d ʊ
legalizados|l ˌe ɡ ɐ l i z ˈa d ʊ ʃ
legalizar|l ˌe ɡ ɐ l i z ˈa ɹ
legalizaram|l ˌe ɡ ɐ l i z ˈa ɾ ɐ̃ʊ̃
legalização|l ˌe ɡ ɐ l ˌi z ɐ s ˈɐ̃ʊ̃
legalize|l ˌe ɡ ɐ l ˈi z ɨ
legalizou|l ˌe ɡ ɐ l i z ˈo w
legalmente|l ɨ ɡ ˌɑ l m ˈeɪ ŋ t ɨ
legal”|l ɨ ɡ ˈɑ l
legend|l ɨ ʒ ˈeɪ ŋ d
legenda|l ˌe ʒ ˈeɪ ŋ d ɐ
legendas|l ˌe ʒ ˈeɪ ŋ d ɐ ʃ
legendei|l ˌe ʒ eɪ ŋ d ˈeɪ
legends|l ɨ ʒ ˈeɪ ŋ d ʃ
legging| l ˈɛ ɡ ɪ ŋ (pt-pt)
leggings| l ˈɛ ɡ ɪ ŋ z (pt-pt)
legibilidade|l ˌe ʒ i b ˌi l i d ˈa d ɨ
legisla|l ˌe ʒ ˈi ʒ l ɐ
legisladas|l ˌe ʒ i ʒ l ˈa d ɐ ʃ
legislador|l ˌe ʒ i ʒ l ɐ d ˈo ɹ
legisladores|l ˌe ʒ i ʒ l ɐ d ˈo ɾ ɨ ʃ
legislar|l ˌe ʒ i ʒ l ˈa ɹ
legislativa|l ˌe ʒ i ʒ l ɐ t ˈi v ɐ
legislativas|l ˌe ʒ i ʒ l ɐ t ˈi v ɐ ʃ
legislativa”|l ˌe ʒ i ʒ l ɐ t ˈi v ɐ
legislativo|l ˌe ʒ i ʒ l ɐ t ˈi v ʊ
legislativos|l ˌe ʒ i ʒ l ɐ t ˈi v ʊ ʃ
legislativo”|l ˌe ʒ i ʒ l ɐ t ˈi v ʊ
legislatura|l ˌe ʒ i ʒ l ɐ t ˈu ɾ ɐ
legislaturas|l ˌe ʒ i ʒ l ɐ t ˈu ɾ ɐ ʃ
legislação|l ˌe ʒ i ʒ l ɐ s ˈɐ̃ʊ̃
legislação”|l ˌe ʒ i ʒ l ɐ s ˈɐ̃ʊ̃
legislações|l ˌe ʒ i ʒ l ɐ s ˈõ j ʃ
legista|l ˌe ʒ ˈi ʃ t ɐ
legistas|l ˌe ʒ ˈi ʃ t ɐ ʃ
legitima|l ˌe ʒ i t ˈi m ɐ
legitimamente|l ˌe ʒ i t ˌi m ɐ m ˈeɪ ŋ t ɨ
legitimar|l ˌe ʒ i t i m ˈa ɹ
legitimava|l ˌe ʒ i t i m ˈa v ɐ
legitimidade|l ˌe ʒ i t ˌi m i d ˈa d ɨ
legitimidade”|l ˌe ʒ i t ˌi m i d ˈa d ɨ
legião|l ˌe ʒ i  ˈɐ̃ʊ̃
legos|l ˈe ɡ ʊ ʃ
legumes|l ˌe ɡ ˈu m ɨ ʃ
leguminosas|l ˌe ɡ u m i n ˈo z ɐ ʃ
legítima|l ˌe ʒ ˈi t i m ɐ
legítimas|l ˌe ʒ ˈi t i m ɐ ʃ
legítimas”|l ˌe ʒ ˈi t i m ɐ ʃ
legítimo|l ˌe ʒ ˈi t i m ʊ
legítimos|l ˌe ʒ ˈi t i m ʊ ʃ
legítimos”|l ˌe ʒ ˈi t i m ʊ ʃ
legíveis|l ˌe ʒ ˈi v eɪ ʃ
legível|l ˌe ʒ ˈi v ˌɛ l
lehart|l ɨ ˈa ɾ ə t
lei|l ˈeɪ
leia|l ˈeɪ  ɐ
leiam|l ˈeɪ  ɐ̃ʊ̃
leicester|l ˌeɪ s ɨ ʃ t ˈe ɹ
leide|l ˈeɪ d ɨ
leidi|l eɪ d ˈi
leidiane|l ˌeɪ d i  ˈɐ̃ n ɨ
leifert|l eɪ f ˈe ɾ ə t
leigo|l ˈeɪ ɡ ʊ
leigos|l ˈeɪ ɡ ʊ ʃ
leiloa|l ˌeɪ l ˈo ɐ
leiloadas|l ˌeɪ l u ˈa d ɐ ʃ
leiloado|l ˌeɪ l u ˈa d ʊ
leiloados|l ˌeɪ l u ˈa d ʊ ʃ
leiloeiro|l ˌeɪ l u ˈeɪ ɾ ʊ
leilão|l eɪ l ˈɐ̃ʊ̃
leilões|l eɪ l ˈõ j ʃ
leio|l ˈeɪ  ʊ
leipzig|l ˌe i p z ˈi ɡ
leiras|l ˈeɪ ɾ ɐ ʃ
leiria|l ˌeɪ ɾ ˈi  ɐ
leirienses|l ˌeɪ ɾ i  ˈeɪ ŋ s ɨ ʃ
leis|l ˈeɪ ʃ
leishmaniose|l ˌeɪ ʒ m ɐ n i  ˈɔ z ɨ
leisure|l ˌeɪ z ˈu ɾ ɨ
leis”|l ˈeɪ ʃ
leiteira|l ˌeɪ t ˈeɪ ɾ ɐ
leites|l ˈeɪ t ɨ ʃ
leite”|l ˈeɪ t ɨ
leito|l ˈeɪ t ʊ
leitor|l eɪ t ˈo ɹ
leitora|l ˌeɪ t ˈo ɾ ɐ
leitoras|l ˌeɪ t ˈo ɾ ɐ ʃ
leitores|l ˌeɪ t ˈo ɾ ɨ ʃ
leitos|l ˈeɪ t ʊ ʃ
leitte|l ˌe ˈi t ɨ
leitura|l ˌeɪ t ˈu ɾ ɐ
leituras|l ˌeɪ t ˈu ɾ ɐ ʃ
leitura”|l ˌeɪ t ˈu ɾ ɐ
leitões|l eɪ t ˈõ j ʃ
lei”|l ˈeɪ
lelandais|l ˌe l ɐ̃ ŋ d ˈaɪ ʃ
leles|l ˈe l ɨ ʃ
lelê|l ɨ l ˈe
lema|l ˈe m ɐ
leman|l ɨ m ˈɐ̃ ŋ
lemann|l ɨ m ˈɐ̃ ŋ n
lemans|l ɨ m ˈɐ̃ ŋ ʃ
lembra|l ˈeɪ m b ɹ ɐ
lembrada|l ˌeɪ m b ɹ ˈa d ɐ
lembradas|l ˌeɪ m b ɹ ˈa d ɐ ʃ
lembrado|l ˌeɪ m b ɹ ˈa d ʊ
lembrados|l ˌeɪ m b ɹ ˈa d ʊ ʃ
lembram|l ˈeɪ m b ɹ ɐ̃ʊ̃
lembramos|l ˌeɪ m b ɹ ˈɐ̃ m ʊ ʃ
lembrancinhas|l ˌeɪ m b ɹ ɐ̃ ŋ s ˈi ɲ ɐ ʃ
lembrando|l ˌeɪ m b ɹ ˈɐ̃ ŋ d ʊ
lembranssas|l ˌeɪ m b ɹ ˈɐ̃ ŋ s ɐ ʃ
lembranças|l ˌeɪ m b ɹ ˈɐ̃ ŋ s ɐ ʃ
lembrar|l eɪ m b ɹ ˈa ɹ
lembrara|l ˌeɪ m b ɹ ˈa ɾ ɐ
lembraram|l ˌeɪ m b ɹ ˈa ɾ ɐ̃ʊ̃
lembraria|l ˌeɪ m b ɹ ɐ ɾ ˈi  ɐ
lembrará|l ˌeɪ m b ɹ ɐ ɾ ˈa
lembrarão|l ˌeɪ m b ɹ ɐ ɾ ˈɐ̃ʊ̃
lembrasse|l ˌeɪ m b ɹ ˈa s ɨ
lembrava|l ˌeɪ m b ɹ ˈa v ɐ
lembravam|l ˌeɪ m b ɹ ˈa v ɐ̃ʊ̃
lembre|l ˈeɪ m b ɹ ɨ
lembrei|l eɪ m b ɹ ˈeɪ
lembremos|l ˌeɪ m b ɹ ˈe m ʊ ʃ
lembrete|l ˌeɪ m b ɹ ˈe t ɨ
lembretes|l ˌeɪ m b ɹ ˈe t ɨ ʃ
lembro|l ˈeɪ m b ɹ ʊ
lembrou|l eɪ m b ɹ ˈo w
lembro”|l ˈeɪ m b ɹ ʊ
lembrá|l eɪ m b ɹ ˈa
leme|l ˈe m ɨ
lemes|l ˈe m ɨ ʃ
lemoine|l ˌe m ˈoɪ n ɨ
lemos|l ˈe m ʊ ʃ
lencaster|l ˌeɪ ŋ k ɐ ʃ t ˈe ɹ
lenda|l ˈeɪ ŋ d ɐ
lendas|l ˈeɪ ŋ d ɐ ʃ
lendo|l ˈeɪ ŋ d ʊ
lendus|l eɪ ŋ d ˈu ʃ
