$|d ˈo l a
maharagwe|m ˌa h a r ˈa ɡ w e
maharaja|m ˌa h a r ˈa ɟ a
maharamia|m ˌa h a r a m ˈi a
mahari|m a h ˈa r i
mahasai|m ˌa h a s ˈa i
mahasimu|m ˌa h a s ˈi m u
mahatma|m a h ˈa t m a
mahayana| m ˌa h a j ˈa n a
mahdali|m a h d ˈa l i
mahdi|m ˈa h d i
mahdiyya|m a h d ˈi j j a
mahekalu|m ˌa h e k ˈa l u
mahela|m a h ˈe l a
mahema|m a h ˈe m a
maher|m ˈa h e r
mahesabu|m ˌa h e s ˈa b u
mahfoudh|m a h f ˈo u ð
mahfoudhi|m ˌa h f o ˈu ð i
mahia| m a h ˈi a
mahili|m a h ˈi l i
mahimbi|m a h ˈi m b i
mahindi|m a h ˈi n d i
mahiri|m a h ˈi r i
mahitaji|m ˌa h i t ˈa ɟ i
mahitimisho|m ˌa h i t i m ˈi ʃ o
mahli| m ˈa h l i
mahmouds|m a h m ˈo u d s
mahmut| m ˈa h m u t
mahojiano|m ˌa h o ɟ i ˈa n o
mahonda|m a h ˈo n d a
mahondo|m a h ˈo n d o
mahone| m a h ˈo n e
mahoni| m a h ˈo n i
mahosipitali|m ˌa h o s ˌi p i t ˈa l i
mahuaji|m ˌa h u ˈa ɟ i
mahubiri|m ˌa h u b ˈi r i
mahudhurio| m ˌa h u ð u r ˈi o
mahuna|m a h ˈu n a
mahusiano|m ˌa h u s i ˈa n o
mahusino| m ˌa h u s ˈi n o
mahususi|m ˌa h u s ˈu s i
mahututi|m ˌa h u t ˈu t i
mahé|m ˈa h e
mai|m ˈa i
maia|m a ˈi a
maiaka| m ˌa i ˈa k a
maida|m a ˈi d a
maiden|m a ˈi d e n
maigizo|m ˌa i ɡ ˈi z o
maikro| m a ˈi k  r o
mail|m ˈa i l
maili|m a ˈi l i
maimamu|m ˌa i m ˈa m u
main|m ˈa i n
maina|m a ˈi n a
maindio|m ˌa i n d ˈi o
maingi| m a ˈi ŋ ɡ i
maingiliano|m ˌa i ŋ ɡ ˌi l i ˈa n o
maingilio|m ˌa i ŋ ɡ i l ˈi o
maingira|m ˌa i ŋ ɡ ˈi r a
maini|m a ˈi n i
mainzi|m a ˈi n z i
maiokaridiali|m ˌa i ˌo k a r ˌi d i ˈa l i
maisara|m ˌa i s ˈa r a
maisga| m a ˈi s ɡ a
maish|m ˈa i ʃ
maisha|m a ˈi ʃ a
maisha''| m a ˈi ʃ a
maishani|m ˌa i ʃ ˈa n i
maishayalikuwa|m ˌa i ʃ ˌa j a l i k ˈu w a
maison|m a ˈi s o n
maisonneuve| m ˌa i s ˌo n n e ˈu v e
mait|m ˈa i t
maiti|m a ˈi t i
maj|m ˈa ɟ
majaabu|m ˌa ɟ a ˈa b u
majabali|m ˌa ɟ a b ˈa l i
majabari|m ˌa ɟ a b ˈa r i
majadaliano|m ˌa ɟ a d ˌa l i ˈa n o
majadilian| m ˌa ɟ a d i l ˈi a n
majadiliano|m ˌa ɟ a d ˌi l i ˈa n o
majahazi|m ˌa ɟ a h ˈa z i
majajasusi|m ˌa ɟ a ɟ a s ˈu s i
majaji|m a ɟ ˈa ɟ i
majalada|m ˌa ɟ a l ˈa d a
majalio|m ˌa ɟ a l ˈi o
majaliwa|m ˌa ɟ a l ˈi w a
majambazi|m ˌa ɟ a m b ˈa z i
majanga|m a ɟ ˈa ŋ ɡ a
majangili|m ˌa ɟ a ŋ ɡ ˈi l i
majangwa|m a ɟ ˈa ŋ ɡ w a
majangwani|m ˌa ɟ a ŋ ɡ w ˈa n i
majani|m a ɟ ˈa n i
majarabio| m ˌa ɟ a r a b ˈi o
majaribio|m ˌa ɟ a r i b ˈi o
majaribu|m ˌa ɟ a r ˈi b u
majaribuni|m ˌa ɟ a r i b ˈu n i
majarida|m ˌa ɟ a r ˈi d a
majarini| m ˌa ɟ a r ˈi n i
majasusi|m ˌa ɟ a s ˈu s i
majawabu| m ˌa ɟ a w ˈa b u
majedwali| m ˌa ɟ e d w ˈa l i
majelaha|m ˌa ɟ e l ˈa h a
majemadari|m ˌa ɟ e m a d ˈa r i
majembe|m a ɟ ˈe m b e
majenerali|m ˌa ɟ e n e r ˈa l i
majeneza| m ˌa ɟ e n ˈe z a
majengo|m a ɟ ˈe ŋ ɡ o
majeraha|m ˌa ɟ e r ˈa h a
majeruhi|m ˌa ɟ e r ˈu h i
majeshi|m a ɟ ˈe ʃ i
majeshibwana|m ˌa ɟ e ʃ i b w ˈa n a
majeshikwa|m ˌa ɟ e ʃ ˈi k w a
majeshimlima|m ˌa ɟ e ʃ i m l ˈi m a
majeshina|m ˌa ɟ e ʃ ˈi n a
majeshitena|m ˌa ɟ e ʃ i t ˈe n a
majestät|m a ɟ ˈe s t a t
maji|m ˈa ɟ i
maji'| m ˈa ɟ i
majiano|m ˌa ɟ i ˈa n o
majibu|m a ɟ ˈi b u
majibwa| m a ɟ ˈi b w a
majid|m ˈa ɟ i d
majigambo|m ˌa ɟ i ɡ ˈa m b o
majikabla|m ˌa ɟ i k ˈa b l a
majike|m a ɟ ˈi k e
majiko|m a ɟ ˈi k o
majilio|m ˌa ɟ i l ˈi o
majimaji|m ˌa ɟ i m ˈa ɟ i
majimbo|m a ɟ ˈi m b o
majina|m a ɟ ˈi n a
majingili|m ˌa ɟ i ŋ ɡ ˈi l i
majini|m a ɟ ˈi n i
majiplazimu| m ˌa ɟ i p l a z ˈi m u
majipu|m a ɟ ˈi p u
majira|m a ɟ ˈi r a
majiraini|m ˌa ɟ i r a ˈi n i
majirani|m ˌa ɟ i r ˈa n i
majitaka| m ˌa ɟ i t ˈa k a
majito|m a ɟ ˈi t o
majitu|m a ɟ ˈi t u
majivu|m a ɟ ˈi v u
majivuno|m ˌa ɟ i v ˈu n o
majiwakuu|m ˌa ɟ i w a k ˈu u
majken|m ˈa ɟ k e n
majlis| m ˈa ɟ l i s
majogoo|m ˌa ɟ o ɡ ˈo o
majoho|m a ɟ ˈo h o
majokofu|m ˌa ɟ o k ˈo f u
majonzi|m a ɟ ˈo n z i
major| m ˈa ɟ o r
majoriteten|m ˌa ɟ o r i t ˈe t e n
majoritetsbeslut|m ˌa ɟ o r ˌi t e t s b ˈe s l u t
majs|m ˈa ɟ s
majskolv|m ˈa ɟ s k o l v
majukumu|m ˌa ɟ u k ˈu m u
majukwaa| m ˌa ɟ u k w ˈa a
majuma|m a ɟ ˈu m a
majumba|m a ɟ ˈu m b a
majumbani|m ˌa ɟ u m b ˈa n i
majununi| m ˌa ɟ u n ˈu n i
majushi|m a ɟ ˈu ʃ i
majusi|m a ɟ ˈu s i
majuto|m a ɟ ˈu t o
majuzi|m a ɟ ˈu z i
mak|m ˈa k
maka|m ˈa k a
makaa|m a k ˈa a
makaazi|m ˌa k a ˈa z i
makabaila|m ˌa k a b a ˈi l a
makabaka|m ˌa k a b ˈa k a
makabidhiano|m ˌa k a b ˌi ð i ˈa n o
makabila|m ˌa k a b ˈi l a
makabiliano| m ˌa k a b ˌi l i ˈa n o
makaburi|m ˌa k a b ˈu r i
makaburini|m ˌa k a b u r ˈi n i
makaburu|m ˌa k a b ˈu r u
makada|m a k ˈa d a
makadirio|m ˌa k a d i r ˈi o
makadiro|m ˌa k a d ˈi r o
makafara|m ˌa k a f ˈa r a
makahaba|m ˌa k a h ˈa b a
makaisari| m ˌa k a i s ˈa r i
makala|m a k ˈa l a
makalio|m ˌa k a l ˈi o
makamanda|m ˌa k a m ˈa n d a
makamba|m a k ˈa m b a
makambako| m ˌa k a m b ˈa k o
makambi|m a k ˈa m b i
makamishna| m ˌa k a m ˈi ʃ n a
makammpuni| m ˌa k a m  m p ˈu n i
makamo|m a k ˈa m o
makampasi|m ˌa k a m p ˈa s i
makampeni|m ˌa k a m p ˈe n i
makampuni|m ˌa k a m p ˈu n i
makamu|m a k ˈa m u
makanaisa|m ˌa k a n a ˈi s a
makanda|m a k ˈa n d a
makandarasi| m ˌa k a n d a r ˈa s i
makande|m a k ˈa n d e
makanika|m ˌa k a n ˈi k a
makanisa|m ˌa k a n ˈi s a
makanisani|m ˌa k a n i s ˈa n i
makanja|m a k ˈa ɲ ɟ a
makanusho| m ˌa k a n ˈu ʃ o
makanya|m a k ˈa ɲ a
makao|m a k ˈa o
makapi|m a k ˈa p i
makapteni|m ˌa k a p t ˈe n i
makapuni| m ˌa k a p ˈu n i
makardinali| m ˌa k a r d i n ˈa l i
makarios| m ˌa k a r ˈi o s
makasia|m ˌa k a s ˈi a
makatazo|m ˌa k a t ˈa z o
makatibu|m ˌa k a t ˈi b u
makavazi|m ˌa k a v ˈa z i
makavu|m a k ˈa v u
makazi|m a k ˈa z i
make|m ˈa k e
makeba| m a k ˈe b a
makedonia|m ˌa k e d o n ˈi a
makedonien|m ˌa k e d o n ˈi e n
makedonska|m ˌa k e d ˈo n s k a
makele| m a k ˈe l e
makelele|m ˌa k e l ˈe l e
maken|m ˈa k e n
makende| m a k ˈe n d e
makengo|m a k ˈe ŋ ɡ o
makeni|m a k ˈe n i
makerere|m ˌa k e r ˈe r e
makers| m ˈa k e r s
makerubi|m ˌa k e r ˈu b i
makete|m a k ˈe t e
makeup|m a k ˈe u p
makhalifa|m ˌa x a l ˈi f a
makibali|m ˌa k i b ˈa l i
makimbilio| m ˌa k i m b i l ˈi o
makinda|m a k ˈi n d a
makindu| m a k ˈi n d u
makini|m a k ˈi n i
makinia|m ˌa k i n ˈi a
makipa|m a k ˈi p a
makisio|m ˌa k i s ˈi o
makita|m a k ˈi t a
makka|m ˈa k k a
makkah|m ˈa k k a h
makleri|m a k l ˈe r i
makoboti|m ˌa k o b ˈo t i
makocha|m a k ˈo tʃ a
makofi|m a k ˈo f i
makohozi|m ˌa k o h ˈo z i
makokoto|m ˌa k o k ˈo t o
makoleo|m ˌa k o l ˈe o
makoloni|m ˌa k o l ˈo n i
makomando|m ˌa k o m ˈa n d o
makombe|m a k ˈo m b e
makombo|m a k ˈo m b o
makombora|m ˌa k o m b ˈo r a
makomeo|m ˌa k o m ˈe o
makonda|m a k ˈo n d a
makonde|m a k ˈo n d e
makondeni|m ˌa k o n d ˈe n i
makongamano| m ˌa k o ŋ ɡ a m ˈa n o
makonnen| m a k ˈo n n e n
makonsuli| m ˌa k o n s ˈu l i
makonzi|m a k ˈo n z i
makopo|m a k ˈo p o
makorora| m ˌa k o r ˈo r a
makos|m ˈa k o s
makosa|m a k ˈo s a
makovu| m a k ˈo v u
makrovirus|m ˌa k  r o v ˈi r u s
maksudi|m a k s ˈu d i
makt|m ˈa k t
maktaba|m a k t ˈa b a
maktabani|m ˌa k t a b ˈa n i
maktabnia|m ˌa k t a b n ˈi a
maktapparater|m ˌa k t a p p a r ˈa t e r
maktbalansen|m ˌa k t b a l ˈa n s e n
maktbefogenheter|m ˌa k t b e f ˌo ɡ e n h ˈe t e r
makten|m ˈa k t e n
makter|m ˈa k t e r
makthavare|m ˌa k θ a v ˈa r e
maktlösa|m a k t l ˈo s a
maktoum| m a k t ˈo u m
maktpositioner|m ˌa k t p o s ˌi t i ˈo n e r
maktutövningen|m ˌa k t u t o v n ˈi ŋ ɡ e n
makubadhi|m ˌa k u b ˈa ð i
makubaliano|m ˌa k u b ˌa l i ˈa n o
makubazi|m ˌa k u b ˈa z i
makubusho|m ˌa k u b ˈu ʃ o
makubwa|m a k ˈu b w a
makubwamakubwa| m ˌa k u b w ˌa m a k ˈu b w a
makucha|m a k ˈu tʃ a
makuhani|m ˌa k u h ˈa n i
makule|m a k ˈu l e
makumbi|m a k ˈu m b i
makumbumsho|m ˌa k u m b ˈu m ʃ o
makumbusha| m ˌa k u m b ˈu ʃ a
makumbusho|m ˌa k u m b ˈu ʃ o
makumi|m a k ˈu m i
makundekunde|m ˌa k u n d e k ˈu n d e
makundi|m a k ˈu n d i
makunduchi|m ˌa k u n d ˈu tʃ i
makungu|m a k ˈu ŋ ɡ u
makungwi|m a k ˈu ŋ ɡ w i
makungwini|m ˌa k u ŋ ɡ w ˈi n i
makunyanzi| m ˌa k u ɲ ˈa n z i
makurdi| m a k ˈu r d i
makuria| m ˌa k u r ˈi a
makuruhi|m ˌa k u r ˈu h i
makurunge|m ˌa k u r ˈu ŋ ɡ e
makusanyiko|m ˌa k u s a ɲ ˈi k o
makusanyio| m ˌa k u s a ɲ ˈi o
makusudi|m ˌa k u s ˈu d i
makutano|m ˌa k u t ˈa n o
makutio|m ˌa k u t ˈi o
makuu|m a k ˈu u
makwazo|m a k w ˈa z o
makwiji| m a k w ˈi ɟ i
mal|m ˈa l
maladona|m ˌa l a d ˈo n a
maladonna|m ˌa l a d ˈo n n a
malagarasi|m ˌa l a ɡ a r ˈa s i
malagasi|m ˌa l a ɡ ˈa s i
malaika|m ˌa l a ˈi k a
malaji| m a l ˈa ɟ i
malaka| m a l ˈa k a
malakhi|m a l ˈa x i
malaki| m a l ˈa k i
malalamiko|m ˌa l a l a m ˈi k o
malalamishi|m ˌa l a l a m ˈi ʃ i
malamba|m a l ˈa m b a
malambo|m a l ˈa m b o
malangali|m ˌa l a ŋ ɡ ˈa l i
malangalila|m ˌa l a ŋ ɡ a l ˈi l a
malange|m a l ˈa ŋ ɡ e
malango|m a l ˈa ŋ ɡ o
malangokisha|m ˌa l a ŋ ɡ o k ˈi ʃ a
malangoni|m ˌa l a ŋ ɡ ˈo n i
malaria|m ˌa l a r ˈi a
malariae|m ˌa l a r i ˈa e
malasin|m a l ˈa s i n
malatesta|m ˌa l a t ˈe s t a
malatwa|m a l ˈa t w a
malatwe|m a l ˈa t w e
malaumu|m ˌa l a ˈu m u
malawi|m a l ˈa w i
malay|m ˈa l a j
malaya|m a l ˈa j a
malayamtu|m ˌa l a j ˈa m t u
malaysia|m ˌa l a j s ˈi a
malazi|m a l ˈa z i
maldivi| m a l d ˈi v i
malemgelenge| m ˌa l e m ɡ e l ˈe ŋ ɡ e
malenga|m a l ˈe ŋ ɡ a
malenge| m a l ˈe ŋ ɡ e
malengelenge|m ˌa l e ŋ ɡ e l ˈe ŋ ɡ e
malengo|m a l ˈe ŋ ɡ o
malevi| m a l ˈe v i
malezi|m a l ˈe z i
malformation| m ˌa l f o r  m a t ˈi o n
mali|m ˈa l i
maliaili| m ˌa l i a ˈi l i
malianga|m ˌa l i ˈa ŋ ɡ a
maliasili|m ˌa l i a s ˈi l i
malidhawa|m ˌa l i ð ˈa w a
maliga|m a l ˈi ɡ a
malighafi|m ˌa l i ɣ ˈa f i
malignant|m a l ˈi ɡ n a n t
malignt|m ˈa l i ɡ n t
malikia|m ˌa l i k ˈi a
malimbuko|m ˌa l i m b ˈu k o
malimwengu| m ˌa l i m w ˈe ŋ ɡ u
malindi|m a l ˈi n d i
malinowski|m ˌa l i n ˈo w s k i
malins|m ˈa l i n s
malinyi|m a l ˈi ɲ i
malinzi| m a l ˈi n z i
malipo|m a l ˈi p o
maliponi| m ˌa l i p ˈo n i
malipwa| m a l ˈi p w a
malisho|m a l ˈi ʃ o
maliwali|m ˌa l i w ˈa l i
maliy| m ˈa l i j
maliza|m a l ˈi z a
malkia|m a l k ˈi a
malkin|m ˈa l k i n
malkishua|m ˌa l  k i ʃ ˈu a
mall|m ˈa l l
mallam| m ˈa l l a m
mallon| m ˈa l l o n
malmaka|m a l  m ˈa k a
malmköpingsvägen|m ˌa l  m  k o p i ŋ ɡ s v ˈa ɡ e n
malmö|m ˈa l m o
malodi| m a l ˈo d i
malori|m a l ˈo r i
malt|m ˈa l t
malthus| m ˈa l θ u s
maltus| m ˈa l t u s
malugala|m ˌa l u ɡ ˈa l a
malugila|m ˌa l u ɡ ˈi l a
malumbano|m ˌa l u m b ˈa n o
malus| m ˈa l u s
malzi| m ˈa l z i
mama|m ˈa m a
mama'ke|m a m ˈa k e
mama'ko| m a m ˈa k o
mamabu|m a m ˈa b u
mamake|m a m ˈa k e
mamalaka|m ˌa m a l ˈa k a
mamalia|m ˌa m a l ˈi a
mamaluki|m ˌa m a l ˈu k i
mamangu|m a m ˈa ŋ ɡ u
mamantilie|m ˌa m a n t i l ˈi e
mamawe| m a m ˈa w e
mamayao|m ˌa m a j ˈa o
mamaye|m a m ˈa j e
mamayeupumbavu|m ˌa m a j ˌe u p u m b ˈa v u
mamba|m ˈa m b a
mambo|m ˈa m b o
mamboleo|m ˌa m b o l ˈe o
mameneja|m ˌa m e n ˈe ɟ a
mamiilioni|m ˌa m i ˌi l i ˈo n i
mamilionea|m ˌa m i l ˌi o n ˈe a
mamilioni|m ˌa m i l i ˈo n i
mamillioni|m ˌa m i l l i ˈo n i
mamistiya| m ˌa m i s t ˈi j a
mamixi| m a m ˈi k s i
mamlaka|m a m l ˈa k a
mamlakani|m ˌa m l a k ˈa n i
mamluk| m ˈa m l u k
mamluki| m a m l ˈu k i
mamma|m ˈa m m a
mammografiundersökningen|m ˌa m  m o ɡ  r ˌa f i ˌu n d e r s o k n ˈi ŋ ɡ e n
mammolini|m ˌa m  m o l ˈi n i
mammut|m ˈa m m u t
mamoja|m a m ˈo ɟ a
mamre|m ˈa m  r e
mamumunya|m ˌa m u m ˈu ɲ a
man|m ˈa n
man'|m ˈa n
manabii|m ˌa n a b ˈi i
management|m ˌa n a ɡ ˈe m e n t
manager|m a n ˈa ɡ e r
managua|m ˌa n a ɡ ˈu a
manaibu| m ˌa n a ˈi b u
mananasi|m ˌa n a n ˈa s i
manase|m a n ˈa s e
manat|m ˈa n a t
mancha|m a ˈn̩ tʃ a
manchester|m ˌa n̩ tʃ ˈe s t e r
manchezter|m ˌa n̩ tʃ ˈe z t e r
manchuria| m ˌa n̩ tʃ u r ˈi a
manda|m ˈa n d a
mandakini|m ˌa n d a k ˈi n i
mandamano|m ˌa n d a m ˈa n o
mandatperioder|m ˌa n d a t p ˌe r i ˈo d e r
mandatperioderna|m ˌa n d a t p ˌe r i o d ˈe r n a
mandeb| m ˈa n d e b
mandela|m a n d ˈe l a
mandelea| m ˌa n d e l ˈe a
mandelliknande|m ˌa n d e l l i k n ˈa n d e
mandhalri| m a n ð ˈa l  r i
mandhari|m a n ð ˈa r i
mandharimbele| m ˌa n ð a r i m b ˈe l e
mandharinyuma| m ˌa n ð a r i ɲ ˈu m a
mandini|m a n d ˈi n i
mandolin|m a n d ˈo l i n
mandugu|m a n d ˈu ɡ u
mandy| m ˈa n d j
mane|m ˈa n e
manedeleo|m ˌa n e d e l ˈe o
manedleo| m ˌa n e d l ˈe o
maneja| m a n ˈe ɟ a
manemane|m ˌa n e m ˈa n e
maneneo| m ˌa n e n ˈe o
maneno|m a n ˈe n o
maneo| m a n ˈe o
mang'amuzi|m ˌa ŋ a m ˈu z i
manga|m ˈa ŋ ɡ a
mangabey|m a ŋ ɡ ˈa b e j
mangamizi| m ˌa ŋ ɡ a m ˈi z i
mangapi|m a ŋ ɡ ˈa p i
mangapwani|m ˌa ŋ ɡ a p w ˈa n i
mangara|m a ŋ ɡ ˈa r a
mangi|m ˈa ŋ ɡ i
manglats|m ˈa ŋ ɡ l a t s
mango|m ˈa ŋ ɡ o
mangoma|m a ŋ ɡ ˈo m a
mangrove| m a ŋ ɡ  r ˈo v e
mangwana|m a ŋ ɡ w ˈa n a
mang’amuzi|m ˌa ŋ a m ˈu z i
manhattan|m a n h ˈa t t a n
manidae| m ˌa n i d ˈa e
manifesto| m ˌa n i f ˈe s t o
manii|m a n ˈi i
manikongo| m ˌa n i k ˈo ŋ ɡ o
manilow| m a n ˈi l o w
maniple| m a n ˈi p l e
manipulated| m ˌa n i p u l ˈa t e d
manipulationer|m ˌa n i p ˌu l a t i ˈo n e r
manisa| m a n ˈi s a
manisipaa|m ˌa n i s i p ˈa a
manispaa|m ˌa n i s p ˈa a
manitoba| m ˌa n i t ˈo b a
manjano|m a ɲ ɟ ˈa n o
manjanoinayoletwa|m ˌa ɲ ɟ a n ˌo i n ˌa j o l ˈe t w a
mankato| m a ŋ  k ˈa t o
manlig|m ˈa n l i ɡ
manlige|m a n l ˈi ɡ e
manligt|m ˈa n l i ɡ t
manne|m ˈa n n e
mannekäng|m a n n ˈe k a ŋ ɡ
mannen|m ˈa n n e n
mannens|m ˈa n n e n s
mannie|m a n n ˈi e
manning|m ˈa n n i ŋ ɡ
mannone| m a n n ˈo n e
manono| m a n ˈo n o
manowari|m ˌa n o w ˈa r i
mans|m ˈa n s
mansa|m ˈa n s a
mansfield| m a n s f ˈi e l d
manssamhället|m ˌa n s s a m h ˈa l l e t
mansur|m ˈa n s u r
mantal|m ˈa n t a l
manteau|m ˌa n t e ˈa u
mantel|m ˈa n t e l
mantiki|m ˈa  n t i k i
manually| m a n ˈu a l l j
manuari|m ˌa n u ˈa r i
manucho| m a n ˈu tʃ o
manuel|m a n ˈu e l
manufa|m a n ˈu f a
manufaa|m ˌa n u f ˈa a
manukato|m ˌa n u k ˈa t o
manula|m a n ˈu l a
manunuzi|m ˌa n u n ˈu z i
manusura| m ˌa n u s ˈu r a
manyame|m a ɲ ˈa m e
manyanyaso|m ˌa ɲ a ɲ ˈa s o
manyara|m a ɲ ˈa r a
manyasi|m a ɲ ˈa s i
manyatta|m a ɲ ˈa t t a
manyinyi|m a ɲ ˈi ɲ i
manyo|m ˈa ɲ o
manyoa|m a ɲ ˈo a
manyonge|m a ɲ ˈo ŋ ɡ e
manyoni|m a ɲ ˈo n i
manyoya|m a ɲ ˈo j a
manyumba|m a ɲ ˈu m b a
manyumbani|m ˌa ɲ u m b ˈa n i
manywele|m ˌa ɲ u ˈe l e
manzaleh|m a n z ˈa l e h
manzanares| m ˌa n z a n ˈa r e s
manzuri|m a n z ˈu r i
maná| m ˈa n a
manövrerade|m ˌa n o v  r e r ˈa d e
manṣūr|ˈm̩  ˈa  ˈe n l ˈe t ə  m ˈo ɟ a  ˈe  s ˈi t a  t ˈa t u    j ˌuː  m ˈa k ɹ ˌɒ n   ˈa r
mao|m ˈa o
maofisa|m ˌa o f ˈi s a
maoki|m a ˈo k i
maombezi| m ˌa o m b ˈe z i
maombi|m a ˈo m b i
maombolezo|m ˌa o m b o l ˈe z o
maonano|m ˌa o n ˈa n o
maonesha|m ˌa o n ˈe ʃ a
maonesho|m ˌa o n ˈe ʃ o
maongeo|m ˌa o ŋ ɡ ˈe o
maongezi|m ˌa o ŋ ɡ ˈe z i
maongezo| m ˌa o ŋ ɡ ˈe z o
maongozi| m ˌa o ŋ ɡ ˈo z i
maoni|m a ˈo n i
maonjo|m a ˈo ɲ ɟ o
maono|m a ˈo n o
maonyeshho|m ˌa o ɲ ˈe ʃ h o
maonyesho| m ˌa o ɲ ˈe ʃ o
maonyo|m a ˈo ɲ o
maonyomtu|m ˌa o ɲ ˈo m t u
maore|m a ˈo r e
maovu|m a ˈo v u
maovumtu|m ˌa o v ˈu m t u
maovumwenye|m ˌa o v u m w ˈe ɲ e
maovuni|m ˌa o v ˈu n i
maovunjia|m ˌa o v u ɲ ɟ ˈi a
maovushahidi|m ˌa o v ˌu ʃ a h ˈi d i
map|m ˈa p
mapacha|m a p ˈa tʃ a
mapadre| m a p ˈa d  r e
mapadri|m a p ˈa d  r i
mapafu|m a p ˈa f u
mapaja| m a p ˈa ɟ a
mapaka|m a p ˈa k a
mapakistani|m ˌa p a k i s t ˈa n i
mapamabano|m ˌa p a m a b ˈa n o
mapambano|m ˌa p a m b ˈa n o
mapambanoni| m ˌa p a m b a n ˈo n i
mapambazuko|m ˌa p a m b a z ˈu k o
mapambo|m a p ˈa m b o
mapana|m a p ˈa n a
mapandava|m ˌa p a n d ˈa v a
mapande| m a p ˈa n d e
mapandikizi| m ˌa p a n d i k ˈi z i
mapanga|m a p ˈa ŋ ɡ a
mapango|m a p ˈa ŋ ɡ o
mapangoni|m ˌa p a ŋ ɡ ˈo n i
maparoko|m ˌa p a r ˈo k o
mapata|m a p ˈa t a
mapatilizo|m ˌa p a t i l ˈi z o
mapato|m a p ˈa t o
mapavu| m a p ˈa v u
mapazia|m ˌa p a z ˈi a
mapekuzi|m ˌa p e k ˈu z i
mapema|m a p ˈe m a
mapemamwenye|m ˌa p e m a m w ˈe ɲ e
mapendano|m ˌa p e n d ˈa n o
mapendekezo|m ˌa p e n d e k ˈe z o
mapendeleo|m ˌa p e n d e l ˈe o
mapendelo| m ˌa p e n d ˈe l o
mapendo| m a p ˈe n d o
mapenduzi|m ˌa p e n d ˈu z i
mapeni| m a p ˈe n i
mapenzi|m a p ˈe n z i
mapepo|m a p ˈe p o
mapesa|m a p ˈe s a
mapiapa|m ˌa p i ˈa p a
mapigano|m ˌa p i ɡ ˈa n o
mapigo|m a p ˈi ɡ o
mapinduzi|m ˌa p i n d ˈu z i
mapinga|m a p ˈi ŋ ɡ a
mapingamizi| m ˌa p i ŋ ɡ a m ˈi z i
mapingo|m a p ˈi ŋ ɡ o
mapinzani| m ˌa p i n z ˈa n i
mapishi|m a p ˈi ʃ i
mapitio|m ˌa p i t ˈi o
mapito|m a p ˈi t o
maplamu|m a p l ˈa m u
mapokeo|m ˌa p o k ˈe o
mapokezeni|m ˌa p o k e z ˈe n i
mapokezi|m ˌa p o k ˈe z i
mapokezini|m ˌa p o k e z ˈi n i
mapolomoko| m ˌa p o l o m ˈo k o
maporini|m ˌa p o r ˈi n i
maporomoko|m ˌa p o r o m ˈo k o
maporopoko|m ˌa p o r o p ˈo k o
mapredator|m ˌa p  r e d ˈa t o r
maprofesa|m ˌa p  r o f ˈe s a
maps|m ˈa p s
mapua|m a p ˈu a
mapumbu| m a p ˈu m b u
mapumziko|m ˌa p u m z ˈi k o
mapungufu|m ˌa p u ŋ ɡ ˈu f u
maputo|m a p ˈu t o
mapya|m ˈa p j a
mara|m ˈa r a
maraa|m a r ˈa a
maraalimaye|m ˌa r a ˌa l i m ˈa j e
marabble| m a r ˈa b b l e
maradarakani|m ˌa r a d ˌa r a k ˈa n i
maradhi|m a r ˈa ð i
maradona|m ˌa r a d ˈo n a
maradudfu|m ˌa r a d ˈu d f u
maradufu|m ˌa r a d ˈu f u
marafiki|m ˌa r a f ˈi k i
marago|m a r ˈa ɡ o
maragoli| m ˌa r a ɡ ˈo l i
maragoni|m ˌa r a ɡ ˈo n i
maragua| m ˌa r a ɡ ˈu a
marague| m ˌa r a ɡ ˈu e
marahaba|m ˌa r a h ˈa b a
marais|m a r ˈa i s
maraisi|m ˌa r a ˈi s i
marajani|m ˌa r a ɟ ˈa n i
marajo| m a r ˈa ɟ o
marakani| m ˌa r a k ˈa n i
marakesh|m a r ˈa k e ʃ
marakwet|m a r ˈa k w e t
maralia|m ˌa r a l ˈi a
maranatha|m ˌa r a n ˈa θ a
marangu|m a r ˈa ŋ ɡ u
maranyingi|m ˌa r a ɲ ˈi ŋ ɡ i
marapa| m a r ˈa p a
marara|m a r ˈa r a
marashi|m a r ˈa ʃ i
marasmasi|m ˌa r a s  m ˈa s i
maratatu|m ˌa r a t ˈa t u
marathas| m a r ˈa θ a s
marathon|m a r ˈa θ o n
marazote| m ˌa r a z ˈo t e
marburg| m ˈa r b u r ɡ
marc|m ˈa r k
marcellino| m ˌa r k e l l ˈi n o
marcello|m a r k ˈe l l o
marcelo|m a r k ˈe l o
march|m ˈa r tʃ
marche|m ˈa r tʃ e
marching|m ˈa r tʃ i ŋ ɡ
marché|m ˈa r tʃ e
marcia| m a r k ˈi a
marco|m ˈa r k o
marcus|m ˈa r k u s
marduk| m ˈa r d u k
mare| m ˈa r e
maredator|m ˌa r e d ˈa t o r
maredio|m ˌa r e d ˈi o
marefa|m a r ˈe f a
marefu|m a r ˈe f u
marejaha|m ˌa r e ɟ ˈa h a
marejeleo| m ˌa r e ɟ e l ˈe o
marejeo|m ˌa r e ɟ ˈe o
marejesho|m ˌa r e ɟ ˈe ʃ o
marekani|m ˌa r e k ˈa n i
marekanilakini| m ˌa r e k ˌa n i l a k ˈi n i
